age,total_2016_percentage,male_2016_percentage,female_2016_percentage,total_2011_percentage,male_2011_percentage,female_2011_percentage,2016_vs_2011_total,2016_vs_2011_male,2016_vs_2011_female
18 bis unter 21,58.4,55.9,60.6,53.7,51.7,55.9,4.7,4.2,4.7
21 bis unter 25,54.2,52.8,55.5,47.0,45.6,48.3,7.2,7.2,7.2
25 bis unter 30,59.5,57.0,61.8,49.1,48.8,49.5,10.4,8.2,12.3
30 bis unter 35,64.9,62.5,67.3,55.3,53.2,57.3,9.6,9.3,10.0
35 bis unter 40,65.9,63.9,68.0,58.3,58.9,57.8,7.6,5.0,10.2
40 bis unter 45,68.8,65.9,71.8,64.4,62.8,65.9,4.4,3.1,5.9
45 bis unter 50,72.3,70.7,74.0,65.5,64.0,67.0,6.8,6.7,7.0
50 bis unter 60,72.4,71.0,73.8,66.2,66.1,66.4,6.2,4.9,7.4
60 bis unter 70,74.1,73.7,74.4,71.7,71.7,71.6,2.4,2.0,2.8
70 und älter,71.7,75.7,69.1,68.1,72.4,65.3,3.6,3.3,3.8
