age,total_2016_percentage,male_2016_percentage,female_2016_percentage,total_2011_percentage,male_2011_percentage,female_2011_percentage,2016_vs_2011_total,2016_vs_2011_male,2016_vs_2011_female
18 bis unter 21,58.1,55.8,60.3,51.0,49.1,53.1,7.1,6.7,7.2
21 bis unter 25,53.8,52.9,54.8,45.9,45.0,46.8,7.9,7.9,8.0
25 bis unter 30,60,57.6,62.3,49.2,48.2,50.1,10.8,9.4,12.2
30 bis unter 35,64.6,62.6,66.7,55.4,54.2,56.6,9.2,8.4,10.1
35 bis unter 40,66.3,64.6,68.1,58.6,57.9,59.3,7.7,6.7,8.8
40 bis unter 45,70,67.6,72.5,62.8,61.7,63.8,7.2,5.9,8.7
45 bis unter 50,72.5,71.1,73.9,64.0,62.0,66.1,8.5,9.1,7.8
50 bis unter 60,71.7,70.6,72.8,63.8,63.5,64.2,7.9,7.1,8.6
60 bis unter 70,73.4,73.4,73.4,69.8,69.8,69.8,3.6,3.6,3.6
70 und älter,70.1,74.5,67.1,67.3,72.0,64.2,2.8,2.5,2.9
