feature,1990,1995,1999,2001,2006,2011,2016,2021,2023
Gültige Zweitstimmen,2019198,1669186,1563576,1623338,1377355,1461185,1635169,1821664,1516860
SPD,614075,393245,349731,481772,424054,413332,352430,390329,279017
CDU,815382,625005,637311,385692,294026,341158,287997,328587,428228
GRÜNE ¹,188730,219990,155322,148066,180865,257063,248324,343871,278964
DIE LINKE ²,184820,244196,276869,366292,185185,171050,255701,256061,185119
AfD,x,x,x,x,x,x,231492,145712,137871
FDP,143080,42391,34280,160953,104584,26943,109500,130201,70416
PIRATEN,x,x,x,x,x,130105,28332,7440,5145
Sonstige,73111,144359,110063,80563,188641,121534,121393,219463,132100
