constituency_association,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_piraten,party_npd,party_fdp,others
Mitte,197148,110275,55.9,108367,28.7,17.9,22.5,11.0,10.5,1.4,1.7,6.5
Friedrichshain-Kreuzberg,171249,106518,62.2,104921,23.9,8.4,30.3,13.0,14.7,1.0,1.0,7.9
Pankow,283368,172207,60.8,169595,29.1,13.8,19.1,17.9,10.5,2.0,1.3,6.3
Charlottenburg-Wilmersdorf,216762,141120,65.1,138849,31.2,28.2,21.7,3.6,7.0,0.8,3.0,4.4
Spandau,162922,94533,58.0,92543,31.7,34.2,12.5,3.7,7.3,2.2,2.1,6.4
Steglitz-Zehlendorf,217191,152018,70.0,149686,25.1,36.2,21.1,3.0,6.4,1.0,3.0,4.2
Tempelhof-Schöneberg,232529,149143,64.1,146379,27.1,28.9,23.0,4.0,7.8,1.5,2.0,5.7
Neukölln,200578,114662,57.2,112084,27.4,26.7,17.9,5.6,9.6,3.1,1.8,7.9
Treptow-Köpenick,199830,121747,60.9,119336,28.9,15.9,10.7,23.0,9.3,4.1,1.2,6.9
Marzahn-Hellersdorf,202868,103502,51.0,101723,28.2,17.5,5.6,27.4,8.8,4.0,1.3,7.3
Lichtenberg,203709,108948,53.5,107094,30.9,12.3,7.6,29.0,9.3,3.5,0.9,6.5
Reinickendorf,181562,112814,62.1,110608,28.1,38.4,13.6,3.3,6.7,1.9,2.3,5.6
