district,mandates,mandates_spd,mandates_cdu,mandates_grüne,mandates_die_linke,mandates_piraten,surplus_mandates_spd,surplus_mandates_cdu,equalizing_mandates_cdu,equalizing_mandates_grüne,equalizing_mandates_die_linke,equalizing_mandates_piraten
Mitte,8,4,2,1,1,0,1,0,0,0,0,0
Friedrichshain-Kreuzberg,9,3,1,5,0,0,0,0,0,0,0,0
Pankow,12,7,3,2,0,0,2,0,1,0,0,0
Charlottenburg-Wilmersdorf,8,4,4,0,0,0,0,0,0,0,0,0
Spandau,6,3,3,0,0,0,0,0,0,0,0,0
Steglitz-Zehlendorf,11,4,7,0,0,0,0,1,0,0,0,0
Tempelhof-Schöneberg,10,4,5,1,0,0,0,0,1,0,0,0
Neukölln,8,3,3,2,0,0,0,0,0,0,0,0
Treptow-Köpenick,8,6,2,0,0,0,3,0,0,0,0,0
Marzahn-Hellersdorf,9,3,2,0,4,0,0,0,0,0,0,0
Lichtenberg,8,3,1,0,4,0,0,0,0,0,0,0
Reinickendorf,9,3,6,0,0,0,0,2,0,0,0,0
