district,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_piraten
Mitte,197148,110275,55.9,107923,30.6,18.9,24.3,11.6,8.8
Friedrichshain-Kreuzberg,171249,106518,62.2,104325,22.9,8.4,34.7,13.2,13.9
Pankow,283368,172207,60.8,169091,31.4,15.3,19.8,18.9,9.4
Charlottenburg-Wilmersdorf,216762,141120,65.1,137835,33.8,31.7,23.9,4,0
Spandau,162922,94533,58,91752,37.7,37.7,11.7,4.2,0
Steglitz-Zehlendorf,217191,152018,70,148922,28.8,39.5,20.7,2.8,2.7
Tempelhof-Schöneberg,232529,149143,64.1,145206,32.1,31.5,23.3,4.2,3.1
Neukölln,200578,114662,57.2,111326,32.4,27.6,17.7,5.7,5.9
Treptow-Köpenick,199830,121747,60.9,118411,32.7,17.9,11.5,25.1,3.5
Marzahn-Hellersdorf,202868,103502,51,101287,28.4,21,5.9,30.1,4.5
Lichtenberg,203709,108948,53.5,106352,32.7,13.8,8.1,33.4,5.1
Reinickendorf,181562,112814,62.1,110000,31.5,41.2,12.9,3.2,4
Berlin,2469716,1487487,60.2,1452430,31.2,25.6,18.3,12.6,5
"Wahlkreis-
verband
(Bezirk)","Wahlbe-
rechtigte",Wähler,"Wahl-
beteili-
gung","Gültige 
Zweit-
stimmen",SPD,CDU,GRÜNE,DIE LINKE,PIRA-TEN
Mitte,197148,110275,55.9,108367,28.7,17.9,22.5,11,10.5
Friedrichshain-Kreuzberg,171249,106518,62.2,104921,23.9,8.4,30.3,13,14.7
Pankow,283368,172207,60.8,169595,29.1,13.8,19.1,17.9,10.5
Charlottenburg-Wilmersdorf,216762,141120,65.1,138849,31.2,28.2,21.7,3.6,7
Spandau,162922,94533,58,92543,31.7,34.2,12.5,3.7,7.3
Steglitz-Zehlendorf,217191,152018,70,149686,25.1,36.2,21.1,3,6.4
Tempelhof-Schöneberg,232529,149143,64.1,146379,27.1,28.9,23,4,7.8
Neukölln,200578,114662,57.2,112084,27.4,26.7,17.9,5.6,9.6
Treptow-Köpenick,199830,121747,60.9,119336,28.9,15.9,10.7,23,9.3
Marzahn-Hellersdorf,202868,103502,51,101723,28.2,17.5,5.6,27.4,8.8
Lichtenberg,203709,108948,53.5,107094,30.9,12.3,7.6,29,9.3
Reinickendorf,181562,112814,62.1,110608,28.1,38.4,13.6,3.3,6.7
Berlin,2469716,1487487,60.2,1461185,28.3,23.3,17.6,11.7,8.9
