electoral_district_proposal,division_numbers,max_numbers,elected_person
SPD,1,20351,"Gothe, Ephraim"
SPD,2,10175.5,"Mohamed Ismail Awale, Anab"
SPD,3,6783.667,"Schug, Sascha"
SPD,4,5087.75,"Fischer, Susanne"
SPD,5,4070.2,"Schwarz, Daniel"
SPD,6,3391.833,"Morgenstern, Vera"
SPD,7,2907.286,"Hauptenbuchner, Andreas"
SPD,8,2543.875,"Benzenberg, Katrin"
SPD,9,2261.222,"Krause, Falko"
SPD,10,2035.1,"Kreitmair, Sonja"
,,,
CDU,1,25185,"Spallek, Carsten"
CDU,2,12592.5,"Pieper, Sebastian"
CDU,3,8395,"Fritz, Daniela"
CDU,4,6296.25,"Leuschner, Martin"
CDU,5,5037,"Fritz, Benjamin"
CDU,6,4197.5,"Ganz, Sylvia"
CDU,7,3597.857,"Cocozza, Gabriele"
CDU,8,3148.125,"Lemke, Olaf"
CDU,9,2798.333,"Losse, Mandy"
CDU,10,2518.5,"Trautmann, Monika"
CDU,11,2289.545,"Gehringer, Nikolas"
CDU,12,2098.75,"Dr. Pathe, Winfried"
,,,
GRÜNE,1,35929,"Neugebauer, Laura"
GRÜNE,2,17964.5,"von Dassel, Stephan"
GRÜNE,3,11976.333,"Saber Fattahy, Shiva"
GRÜNE,4,8982.25,"Massalme, Tarek"
GRÜNE,5,7185.8,"Kreße, Shirin"
GRÜNE,6,5988.167,"Omar, Jian"
GRÜNE,7,5132.714,"Bendzko, Alexandra"
GRÜNE,8,4491.125,"Sandjer, Reswan"
GRÜNE,9,3992.111,"Kamm, Jelisaweta"
GRÜNE,10,3592.9,"Schellenberger, Isabelle"
GRÜNE,11,3266.273,"Sisauri, Lela"
GRÜNE,12,2994.083,"Böckermann, Hendrik"
GRÜNE,13,2763.769,"Schröder, Lucie"
GRÜNE,14,2566.357,"Luca, Vasile Marian"
GRÜNE,15,2395.267,"Hajo, Hiro"
GRÜNE,16,2245.563,"Dr. Drebes, Sven"
GRÜNE,17,2113.471,"Bertermann, Ingrid"
GRÜNE,18,1996.056,"Nguyen, Hoang Anh"
,,,
DIE LINKE,1,19885,"Keller, Christoph"
DIE LINKE,2,9942.5,"Kleedörfer, Martha"
DIE LINKE,3,6628.333,"Sanehy, Jacqueline"
DIE LINKE,4,4971.25,"Diedrich, Sven"
DIE LINKE,5,3977,"Seyhun, Deniz"
DIE LINKE,6,3314.167,"Urchs, Thilo"
DIE LINKE,7,2840.714,"Reiser, Ramona"
DIE LINKE,8,2485.625,"Lötzer, Rüdiger"
DIE LINKE,9,2209.444,"Elliesen-Kliefoth, Imke"
DIE LINKE,10,1988.5,"Haidary, Samiullah"
,,,
AfD,1,6970,"Schüler, Sabine"
AfD,2,3485,"Riedel, Carsten"
AfD,3,2323.333,"Dr. Borrmann, Kai"
,,,
FDP,1,5862,"Roet, Bastian"
FDP,2,2931,"Koch, Johanna"
