feature,2023_total,2023_total_percentage,2016_total,2016_total_percentage,difference,difference_percentage
Wahlberechtigte,215556,x,x,217755,x,x
Wählende,120480,55.9,x,130786,60.1,x
darunter Briefwählende,50655,42,x,33565,25.7,x
Abgegebene Stimmen,120480,x,x,130786,x,x
Mindeststimmen (3%),3615,3,x,3924,3,x
Ungültige Stimmen,1033,0.9,x,2243,1.7,x
Gültige Stimmen,119447,99.1,x,128543,98.3,x
SPD,18231,15.3,9,27856,21.7,13
CDU,28415,23.8,15,16221,12.6,7
GRÜNE,14124,11.8,7,10603,8.2,5
DIE LINKE,27591,23.1,14,38353,29.8,18
AfD,16650,13.9,8,24617,19.2,12
FDP,3539,3,0,3779,2.9,x
Die PARTEI,2440,2,0,x,x,x
Tierschutzpartei,5176,4.3,2,x,x,x
PIRATEN,763,0.6,0,3689,2.9,x
NPD,219,0.2,0,1291,1,x
LKR,86,0.1,0,x,x,x
dieBasis,879,0.7,0,x,x,x
FREIE WÄHLER,1334,1.1,0,x,x,x
Übrige,x,x,x,2134,1.7,x
