electoral_district_proposal,division_numbers,max_numbers
SPD,1.0,18231.0
SPD,2.0,9115.5
SPD,3.0,6077.0
SPD,4.0,4557.75
SPD,5.0,3646.2
SPD,6.0,3038.5
SPD,7.0,2604.429
SPD,8.0,2278.875
SPD,9.0,2025.667
nan,nan,nan
CDU,1.0,28415.0
CDU,2.0,14207.5
CDU,3.0,9471.667
CDU,4.0,7103.75
CDU,5.0,5683.0
CDU,6.0,4735.833
CDU,7.0,4059.286
CDU,8.0,3551.875
CDU,9.0,3157.222
CDU,10.0,2841.5
CDU,11.0,2583.182
CDU,12.0,2367.917
CDU,13.0,2185.769
CDU,14.0,2029.643
CDU,15.0,1894.333
nan,nan,nan
GRÜNE,1.0,14124.0
GRÜNE,2.0,7062.0
GRÜNE,3.0,4708.0
GRÜNE,4.0,3531.0
GRÜNE,5.0,2824.8
GRÜNE,6.0,2354.0
GRÜNE,7.0,2017.714
nan,nan,nan
DIE LINKE,1.0,27591.0
DIE LINKE,2.0,13795.5
DIE LINKE,3.0,9197.0
DIE LINKE,4.0,6897.75
DIE LINKE,5.0,5518.2
DIE LINKE,6.0,4598.5
DIE LINKE,7.0,3941.571
DIE LINKE,8.0,3448.875
DIE LINKE,9.0,3065.667
DIE LINKE,10.0,2759.1
DIE LINKE,11.0,2508.273
DIE LINKE,12.0,2299.25
DIE LINKE,13.0,2122.385
DIE LINKE,14.0,1970.786
nan,nan,nan
AfD,1.0,16650.0
AfD,2.0,8325.0
AfD,3.0,5550.0
AfD,4.0,4162.5
AfD,5.0,3330.0
AfD,6.0,2775.0
AfD,7.0,2378.571
AfD,8.0,2081.25
nan,nan,nan
Tierschutzpartei,1.0,5176.0
Tierschutzpartei,2.0,2588.0
