electoral_district_proposal,division_numbers,max_numbers
SPD,1,23415
SPD,2,11707.5
SPD,3,7805
SPD,4,5853.75
SPD,5,4683
SPD,6,3902.5
SPD,7,3345
SPD,8,2926.875
SPD,9,2601.667
SPD,10,2341.5
SPD,11,2128.636
SPD,12,1951.25
SPD,13,1801.154
,,
CDU,1,44185
CDU,2,22092.5
CDU,3,14728.333
CDU,4,11046.25
CDU,5,8837
CDU,6,7364.167
CDU,7,6312.143
CDU,8,5523.125
CDU,9,4909.444
CDU,10,4418.5
CDU,11,4016.818
CDU,12,3682.083
CDU,13,3398.846
CDU,14,3156.071
CDU,15,2945.667
CDU,16,2761.563
CDU,17,2599.118
CDU,18,2454.722
CDU,19,2325.526
CDU,20,2209.25
CDU,21,2104.048
CDU,22,2008.409
CDU,23,1921.087
CDU,24,1841.042
CDU,25,1767.4
,,
GRÜNE,1,13744
GRÜNE,2,6872
GRÜNE,3,4581.333
GRÜNE,4,3436
GRÜNE,5,2748.8
GRÜNE,6,2290.667
GRÜNE,7,1963.429
,,
DIE LINKE,1,4653
DIE LINKE,2,2326.5
,,
AfD,1,10810
AfD,2,5405
AfD,3,3603.333
AfD,4,2702.5
AfD,5,2162
AfD,6,1801.667
,,
FDP,1,4681
FDP,2,2340.5
