electoral_district_proposal,division_numbers,max_numbers,elected_person
SPD,1,15427,"Hehmke, Andy"
SPD,2,7713.5,"Lang, Anna"
SPD,3,5142.333,"Forck, Sebastian"
SPD,4,3856.75,"Lupper, Hannah Sophie"
SPD,5,3085.4,"Vollmert, Frank"
SPD,6,2571.167,"Mollenhauer-Koch, Tessa"
SPD,7,2203.857,"Giebel, Thomas"
SPD,8,1928.375,"Hochstätter, Peggy"
CDU,1,15074,"Dr. Husein, Timur"
CDU,2,7537,"Barrie, Ilona"
CDU,3,5024.667,"Alter, Jan"
CDU,4,3768.5,"Kindler, Max"
CDU,5,3014.8,"Žugić, Aleksandar"
CDU,6,2512.333,"Fabeck, Marita"
CDU,7,2153.429,"Rekowsky, Ulrike"
CDU,8,1884.25,"Inci, Tolga"
GRÜNE,1,39448,"Herrmann, Clara"
GRÜNE,2,19724,"Schmidt, Florian"
GRÜNE,3,13149.333,"Gerold, Annika"
GRÜNE,4,9862,"Heck, Werner"
GRÜNE,5,7889.6,"Rothmund, Silvia"
GRÜNE,6,6574.667,"Dr. Kallmann, Brigitte"
GRÜNE,7,5635.429,"Jermutus, Sarah"
GRÜNE,8,4931,"Çinar, Murat"
GRÜNE,9,4383.111,"Neubert, Alexandra"
GRÜNE,10,3944.8,"Striebel, Pascal"
GRÜNE,11,3586.182,"Schulte, Claudia"
GRÜNE,12,3287.333,"Wolf, Tobias"
GRÜNE,13,3034.462,"Gärtner, Taina"
GRÜNE,14,2817.714,"Yücel, Murat"
GRÜNE,15,2629.867,"Schmidt-Stanojevic, Jutta Luise"
GRÜNE,16,2465.5,"Dabisch, Vito"
GRÜNE,17,2320.471,"Kiliç, Kiymet"
GRÜNE,18,2191.556,"Garcia Bergt, Karl-Heinz"
GRÜNE,19,2076.211,"Haberer, Anna Maria Babette"
GRÜNE,20,1972.4,"Heise, Magnus Ernst Fritz Ingmar"
GRÜNE,21,1878.476,"Koterewa, Olga"
DIE LINKE,1,23266,"Nöll, Oliver"
DIE LINKE,2,11633,"Jösting, Katja"
DIE LINKE,3,7755.333,"Bouali, Kerima"
DIE LINKE,4,5816.5,"Jokisch, René"
DIE LINKE,5,4653.2,"Sommer-Wetter, Regine"
DIE LINKE,6,3877.667,"Amiri, Ali Reza"
DIE LINKE,7,3323.714,"Gottwald, Gabriele"
DIE LINKE,8,2908.25,"Fuchslocher, Kolja"
DIE LINKE,9,2585.111,"Dangeleit, Elke"
DIE LINKE,10,2326.6,"Ehling, Janis"
DIE LINKE,11,2115.091,"Juda, Ulrike"
DIE LINKE,12,1938.833,"Shafaqyar, Moheb"
AfD,1,3995,"Scheermesser, Frank"
AfD,2,1997.5,"Meuren, Christof"
FDP,1,3765,"Dr. Heihsel, Marlene"
FDP,2,1882.5,"Dr. Heihsel, Michael"
Die PARTEI,1,3831,"Cörtlen, Riza"
Die PARTEI,2,1915.5,"Denecke, Torben"
