feature,2023_total,2023_total_percentage,2016_total,2016_total_percentage,difference,difference_percentage
Wahlberechtigte,309621,x,x,310127,x,x
Wählende,198215,64,x,207123,66.8,x
darunter Briefwählende,88756,44.8,x,56491,27.3,x
Abgegebene Stimmen,198215,x,x,207123,x,x
Mindeststimmen (3%),5947,3,x,6214,3,x
Ungültige Stimmen,1173,0.6,x,2441,1.2,x
Gültige Stimmen,197042,99.4,x,204682,98.8,x
SPD,29075,14.8,9,41027,20,12
CDU,40027,20.3,12,26178,12.8,8
GRÜNE,46836,23.8,15,42148,20.6,12
DIE LINKE,35198,17.9,11,43172,21.1,13
AfD,18487,9.4,6,27187,13.3,8
FDP,7242,3.7,2,8033,3.9,2
Die PARTEI,4073,2.1,0,5351,2.6,x
Tierschutzpartei,5335,2.7,0,x,x,x
ÖDP,368,0.2,0,x,x,x
dieBasis,2044,1,0,x,x,x
Die Grauen,1735,0.9,0,x,x,x
FREIE WÄHLER,824,0.4,0,x,x,x
Klimaliste Berlin,1249,0.6,0,x,x,x
MIETERPARTEI,1529,0.8,0,3137,1.5,x
Volt,3020,1.5,0,x,x,x
Übrige,x,x,x,8449,4.1,x
