electoral_district_proposal,division_numbers,max_numbers,elected_person
SPD,1.0,29075.0,"Tietje, Rona"
SPD,2.0,14537.5,"Schröder, Roland"
SPD,3.0,9691.667,"Ahrens, Katja"
SPD,4.0,7268.75,"Bohla, Thomas"
SPD,5.0,5815.0,"Mickley, Birgit"
SPD,6.0,4845.833,"Szidat, Mike"
SPD,7.0,4153.571,"Wölk, Stephanie"
SPD,8.0,3634.375,"Lenkeit, Marc"
SPD,9.0,3230.556,"Rosensky, Ulrike"
nan,nan,nan,nan
CDU,1.0,40027.0,"Bittner, Denise"
CDU,2.0,20013.5,"Dr. Scharfenberg, Eva"
CDU,3.0,13342.333,"Steinke, Claudia"
CDU,4.0,10006.75,"Kraft, Johannes"
CDU,5.0,8005.4,"Paul, David"
CDU,6.0,6671.167,"Groß, Sascha"
CDU,7.0,5718.143,"Bocian, Lars"
CDU,8.0,5003.375,"Hauer, Daniel"
CDU,9.0,4447.444,"Pasternack, Jörn"
CDU,10.0,4002.7,"Körner-Eigelt, Tim"
CDU,11.0,3638.818,"Weibeler, Aileen"
CDU,12.0,3335.583,"Blauert, Stefan"
nan,nan,nan,nan
GRÜNE,1.0,46836.0,"Dr. Koch, Cordelia"
GRÜNE,2.0,23418.0,"Dr. Jütting, Oliver"
GRÜNE,3.0,15612.0,"Tharan, Almuth"
GRÜNE,4.0,11709.0,"Dr. Groba, Felix"
GRÜNE,5.0,9367.2,"Bond, Helene"
GRÜNE,6.0,7806.0,"Gloger, Karsten Dirk"
GRÜNE,7.0,6690.857,"Flores Rivera, Patrizia"
GRÜNE,8.0,5854.5,"Lüssow, Axel"
GRÜNE,9.0,5204.0,"Gänger, Silke"
GRÜNE,10.0,4683.6,"Drewitz, Jan"
GRÜNE,11.0,4257.818,"Schmidt, Heike"
GRÜNE,12.0,3903.0,"Aru, Can Diego"
GRÜNE,13.0,3602.769,"Koufen, Katharina"
GRÜNE,14.0,3345.429,"Heuke, Reemt"
GRÜNE,15.0,3122.4,"Lam, Anne"
nan,nan,nan,nan
DIE LINKE,1.0,35198.0,"Benn, Sören"
DIE LINKE,2.0,17599.0,"Landero Alvarado, Astrid"
DIE LINKE,3.0,11732.667,"Dr. Stiller, Jaana"
DIE LINKE,4.0,8799.5,"Zarbock, Matthias"
DIE LINKE,5.0,7039.6,"Dr. Babian, Stella"
DIE LINKE,6.0,5866.333,"Kempe, Wolfram"
DIE LINKE,7.0,5028.286,"Seidenstücker, Marion"
DIE LINKE,8.0,4399.75,"Schirmer, Maximilian"
DIE LINKE,9.0,3910.889,"Wechslberger, Kirsten"
DIE LINKE,10.0,3519.8,"Schlüter, Paul"
DIE LINKE,11.0,3199.818,"Maillefert, Katrin"
nan,nan,nan,nan
AfD,1.0,18487.0,"Krüger, Daniel"
AfD,2.0,9243.5,"Streeck, Jan-Philip"
AfD,3.0,6162.333,"Behnke, Frank"
AfD,4.0,4621.75,"Mohr, Herbert"
AfD,5.0,3697.4,"Holder, Andreas"
AfD,6.0,3081.167,"Schweer, Christoph"
nan,nan,nan,nan
FDP,1.0,7242.0,"Dr. Enge, Thomas"
FDP,2.0,3621.0,"Simon, Oliver"
