feature,2023_total,2023_total_percentage,2016_total,2016_total_percentage,difference,difference_percentage
Wahlberechtigte,176974,x,x,179192,x,x
Wählende,91615,51.8,x,106333,59.3,x
darunter Briefwählende,38047,41.5,x,28689,27,x
Abgegebene Stimmen,91615,x,x,106333,x,x
Mindeststimmen (3%),2749,3,x,3190,3,x
Ungültige Stimmen,873,1,x,2058,1.9,x
Gültige Stimmen,90742,99,x,104275,98.1,x
SPD,21186,23.3,14,34652,33.2,20
CDU,35825,39.5,23,26843,25.7,16
GRÜNE,8994,9.9,6,7915,7.6,4
DIE LINKE,3811,4.2,2,5883,5.6,3
AfD,10067,11.1,6,16668,16,9
FDP,3690,4.1,2,6654,6.4,3
Die PARTEI,1419,1.6,0,1600,1.5,x
Tierschutzpartei,3895,4.3,2,x,x,x
LKR,75,0.1,0,x,x,x
ÖDP,182,0.2,0,x,x,x
dieBasis,589,0.6,0,x,x,x
WsB Spandau,673,0.7,0,x,x,x
WisS,336,0.4,0,1456,1.4,x
Übrige,x,x,x,2604,2.5,x
