electoral_district_proposal,division_numbers,max_numbers
SPD,1.0,21186.0
SPD,2.0,10593.0
SPD,3.0,7062.0
SPD,4.0,5296.5
SPD,5.0,4237.2
SPD,6.0,3531.0
SPD,7.0,3026.571
SPD,8.0,2648.25
SPD,9.0,2354.0
SPD,10.0,2118.6
SPD,11.0,1926.0
SPD,12.0,1765.5
SPD,13.0,1629.692
SPD,14.0,1513.286
nan,nan,nan
CDU,1.0,35825.0
CDU,2.0,17912.5
CDU,3.0,11941.667
CDU,4.0,8956.25
CDU,5.0,7165.0
CDU,6.0,5970.833
CDU,7.0,5117.857
CDU,8.0,4478.125
CDU,9.0,3980.556
CDU,10.0,3582.5
CDU,11.0,3256.818
CDU,12.0,2985.417
CDU,13.0,2755.769
CDU,14.0,2558.929
CDU,15.0,2388.333
CDU,16.0,2239.063
CDU,17.0,2107.353
CDU,18.0,1990.278
CDU,19.0,1885.526
CDU,20.0,1791.25
CDU,21.0,1705.952
CDU,22.0,1628.409
CDU,23.0,1557.609
nan,nan,nan
GRÜNE,1.0,8994.0
GRÜNE,2.0,4497.0
GRÜNE,3.0,2998.0
GRÜNE,4.0,2248.5
GRÜNE,5.0,1798.8
GRÜNE,6.0,1499.0
nan,nan,nan
DIE LINKE,1.0,3811.0
DIE LINKE,2.0,1905.5
nan,nan,nan
AfD,1.0,10067.0
AfD,2.0,5033.5
AfD,3.0,3355.667
AfD,4.0,2516.75
AfD,5.0,2013.4
AfD,6.0,1677.833
nan,nan,nan
FDP,1.0,3690.0
FDP,2.0,1845.0
nan,nan,nan
Tierschutzpartei,1.0,3895.0
Tierschutzpartei,2.0,1947.5
