electoral_district_proposal,division_numbers,max_numbers
SPD,1,30302
SPD,2,15151
SPD,3,10100.667
SPD,4,7575.5
SPD,5,6060.4
SPD,6,5050.333
SPD,7,4328.857
SPD,8,3787.75
SPD,9,3366.889
SPD,10,3030.2
SPD,11,2754.727
SPD,12,2525.167
,,
CDU,1,47221
CDU,2,23610.5
CDU,3,15740.333
CDU,4,11805.25
CDU,5,9444.2
CDU,6,7870.167
CDU,7,6745.857
CDU,8,5902.625
CDU,9,5246.778
CDU,10,4722.1
CDU,11,4292.818
CDU,12,3935.083
CDU,13,3632.385
CDU,14,3372.929
CDU,15,3148.067
CDU,16,2951.313
CDU,17,2777.706
CDU,18,2623.389
CDU,19,2485.316
,,
GRÜNE,1,36450
GRÜNE,2,18225
GRÜNE,3,12150
GRÜNE,4,9112.5
GRÜNE,5,7290
GRÜNE,6,6075
GRÜNE,7,5207.143
GRÜNE,8,4556.25
GRÜNE,9,4050
GRÜNE,10,3645
GRÜNE,11,3313.636
GRÜNE,12,3037.5
GRÜNE,13,2803.846
GRÜNE,14,2603.571
,,
DIE LINKE,1,12187
DIE LINKE,2,6093.5
DIE LINKE,3,4062.333
DIE LINKE,4,3046.75
DIE LINKE,5,2437.4
,,
AfD,1,9588
AfD,2,4794
AfD,3,3196
,,
FDP,1,6310
FDP,2,3155
