feature,2023_total,2023_total_percentage,2016_total,2016_total_percentage,difference,difference_percentage
Wahlberechtigte,223387,x,x,232972,x,x
Wählende,116500,52.2,x,134358,57.7,x
darunter Briefwählende,51511,44.2,x,39972,29.8,x
Abgegebene Stimmen,116500,x,x,134358,x,x
Mindeststimmen (3%),3495,3,x,4031,3,x
Ungültige Stimmen,905,0.8,x,2149,1.6,x
Gültige Stimmen,115595,99.2,x,132209,98.4,x
SPD,27869,24.1,15,40182,30.4,19
CDU,31422,27.2,17,21565,16.3,10
GRÜNE,19734,17.1,10,19717,14.9,9
DIE LINKE,16631,14.4,9,16187,12.2,7
AfD,8661,7.5,4,16849,12.7,8
FDP,3032,2.6,0,5600,4.2,2
Die PARTEI,1990,1.7,0,3265,2.5,x
Tierschutzpartei,3065,2.7,0,2884,2.2,x
LKR,76,0.1,0,x,x,x
ÖDP,140,0.1,0,x,x,x
dieBasis,580,0.5,0,x,x,x
FREIE WÄHLER,325,0.3,0,x,x,x
Klimaliste Berlin,886,0.8,0,x,x,x
Volt,914,0.8,0,x,x,x
WsB,270,0.2,0,x,x,x
Übrige,x,x,x,5960,4.5,x
