electoral_district_proposal,division_numbers,max_numbers,elected_person
SPD,1,27869,"Hikel, Martin"
SPD,2,13934.5,"Blumenthal, Mirjam"
SPD,3,9289.667,"Oeverdieck, Lars"
SPD,4,6967.25,"Klein, Cordula"
SPD,5,5573.8,"Blesing, Thomas"
SPD,6,4644.833,"Draeger, Almuth"
SPD,7,3981.286,"Preuß, Marko"
SPD,8,3483.625,"Reichenbach, Marina"
SPD,9,3096.556,"Scharmberg, Peter"
SPD,10,2786.9,"Hasçelik, Nilgün"
SPD,11,2533.545,"von Chelstowski, Max"
SPD,12,2322.417,"Jahke, Franziska"
SPD,13,2143.769,"Hecht, Wolfgang"
SPD,14,1990.643,"Adjei, Cindy Afia Agyeman"
SPD,15,1857.933,"Atashgahi, Bijan"
,,,
CDU,1,31422,"Liecke, Falko"
CDU,2,15711,"Kringel, Gerrit"
CDU,3,10474,"Lanske, Ute Birgit"
CDU,4,7855.5,"Förster, Christopher"
CDU,5,6284.4,"Schloßmacher, André"
CDU,6,5237,"Güldner, Sabine"
CDU,7,4488.857,"Schulze, Karsten"
CDU,8,3927.75,"Oegel, Markus"
CDU,9,3491.333,"Bülck, Nicole"
CDU,10,3142.2,"Schenk, Olaf"
CDU,11,2856.545,"Kringel, Ino"
CDU,12,2618.5,"Manteuffel, Elfriede Marianne"
CDU,13,2417.077,"Augustin, Ken"
CDU,14,2244.429,"Gellert, Wolfgang"
CDU,15,2094.8,"Liebenau, Annika"
CDU,16,1963.875,"Oegel, Christa"
CDU,17,1848.353,"Krylik, Dariusz"
,,,
GRÜNE,1,19734,"Dr. Worschech, Susann"
GRÜNE,2,9867,"Biedermann, Jochen Tobias"
GRÜNE,3,6578,"Soetebeer, Ina"
GRÜNE,4,4933.5,"Dr. Hoffmann, Christian"
GRÜNE,5,3946.8,"Tanana, Samira"
GRÜNE,6,3289,"Stiermann, Jan"
GRÜNE,7,2819.143,"Krotter, Sofie"
GRÜNE,8,2466.75,"Szczepanski, Bernd"
GRÜNE,9,2192.667,"Ouattara, Maïmouna"
GRÜNE,10,1973.4,"?ahin, Kadir"
,,,
DIE LINKE,1,16631,"Nagel, Sarah"
DIE LINKE,2,8315.5,"Abed, Ahmed"
DIE LINKE,3,5543.667,"Aßmann, Carla"
DIE LINKE,4,4157.75,"Eckes, Maya"
DIE LINKE,5,3326.2,"Dehne, Philipp-Martin"
DIE LINKE,6,2771.833,"Sambefski, Susanka"
DIE LINKE,7,2375.857,"Frankl, Georg"
DIE LINKE,8,2078.875,"Butter, Daniela"
DIE LINKE,9,1847.889,"Lindner, Ludwig"
,,,
AfD,1,8661,"Potthast, Julian"
AfD,2,4330.5,"Kapitän, Jörg"
AfD,3,2887,"Becker, Marlies"
AfD,4,2165.25,"Hohmann, Christian"
