feature,2023_total,2023_total_percentage,2016_total,2016_total_percentage,difference,difference_percentage
Wahlberechtigte,220301,x,x,212163,x,x
Wählende,134487,61,x,140554,66.2,x
darunter Briefwählende,55233,41.1,x,36819,26.2,x
Abgegebene Stimmen,134487,x,x,140554,x,x
Mindeststimmen (3%),4035,3,x,4217,3,x
Ungültige Stimmen,1104,0.8,x,1982,1.4,x
Gültige Stimmen,133383,99.2,x,138572,98.6,x
SPD,29891,22.4,13,34467,24.9,15
CDU,31232,23.4,14,17376,12.5,7
GRÜNE,16390,12.3,7,12999,9.4,5
DIE LINKE,20564,15.4,9,31432,22.7,14
AfD,18711,14,8,27905,20.1,12
FDP,4484,3.4,2,4975,3.6,2
Die PARTEI,2883,2.2,0,3739,2.7,x
Tierschutzpartei,4646,3.5,2,x,x,x
NPD,356,0.3,0,1610,1.2,x
LKR,147,0.1,0,x,x,x
ÖDP,256,0.2,0,x,x,x
dieBasis,924,0.7,0,x,x,x
FREIE WÄHLER,1046,0.8,0,x,x,x
Klimaliste Berlin,641,0.5,0,x,x,x
Die Humanisten,463,0.3,0,x,x,x
TKBB,749,0.6,0,x,x,x
Übrige,x,x,x,4069,2.9,x
