electoral_district_proposal,division_numbers,max_numbers,elected_person
SPD,1,29891,"Igel, Oliver"
SPD,2,14945.5,"Vogt, Irina"
SPD,3,9963.667,"Groos, Peter"
SPD,4,7472.75,"Trăsnea, Ana-Maria"
SPD,5,5978.2,"Freier-Winterwerb, Alexander"
SPD,6,4981.833,"Haußdörfer, Ellen"
SPD,7,4270.143,"Hölmer, Rainer"
SPD,8,3736.375,"Möser-Schmidt, Julia"
SPD,9,3321.222,"Sambill, Steffen"
SPD,10,2989.1,"Wolff, Dunja"
SPD,11,2717.364,"Tyx, Manuel"
SPD,12,2490.917,"Rohde, Grit"
SPD,13,2299.308,"Düsterhöft, Lars"
,,,
CDU,1,31232,"Dr. Wieczorek, Bertram"
CDU,2,15616,"Korbus, Ralph"
CDU,3,10410.667,"Danubio, Caroline"
CDU,4,7808,"Lawrenz, Sascha"
CDU,5,6246.4,"Geue, Jonas"
CDU,6,5205.333,"Falkenberg, Julia"
CDU,7,4461.714,"Dr. Sattelkau, Martin"
CDU,8,3904,"Hoffmann, Dustin"
CDU,9,3470.222,"Knack, Wolfgang"
CDU,10,3123.2,"Erdmann, André"
CDU,11,2839.273,"Hinz, Martin"
CDU,12,2602.667,"Schneider, Hannes"
CDU,13,2402.462,"Vennemann, Lukas"
CDU,14,2230.857,"Dehmel, Matthias"
,,,
GRÜNE,1,16390,"Dr. Leistner, Claudia"
GRÜNE,2,8195,"Zellmer, Jacob"
GRÜNE,3,5463.333,"Dr. Schlaak, Claudia"
GRÜNE,4,4097.5,"Huber, Christian"
GRÜNE,5,3278,"Knorr, Eva"
GRÜNE,6,2731.667,"Dohnalek, Sven"
GRÜNE,7,2341.429,"Steinmetz, Charlotte"
,,,
DIE LINKE,1,20564,"Feierabend, Ines"
DIE LINKE,2,10282,"Kerntopf, Christian"
DIE LINKE,3,6854.667,"Reichardt, Petra"
DIE LINKE,4,5141,"Wohlfeil, Philipp"
DIE LINKE,5,4112.8,"Kant, Karin"
DIE LINKE,6,3427.333,"Doering, Uwe"
DIE LINKE,7,2937.714,"Belz, Monika"
DIE LINKE,8,2570.5,"Schubert, André"
DIE LINKE,9,2284.889,"Karge, Edith"
,,,
AfD,1,18711,"Bertram, Alexander"
AfD,2,9355.5,"Geschanowski, Bernd"
AfD,3,6237,"Henkel, Denis"
AfD,4,4677.75,"Lorenz, Andrea"
AfD,5,3742.2,"Klupsch, Andreas Max"
AfD,6,3118.5,"Krüger, Christian"
AfD,7,2673,"Rackow, Johannes"
AfD,8,2338.875,"Schleinitz, Jörn"
,,,
FDP,1,4484,"Schmidt, Joachim"
FDP,2,2242,"Franke, Jeanot"
,,,
Tierschutzpartei,1,4646,"Schrodt, Jennifer"
Tierschutzpartei,2,2323,"Voltz, Pia"
