electoral_district_proposal,division_numbers,max_numbers
SPD,1.0,29891.0
SPD,2.0,14945.5
SPD,3.0,9963.667
SPD,4.0,7472.75
SPD,5.0,5978.2
SPD,6.0,4981.833
SPD,7.0,4270.143
SPD,8.0,3736.375
SPD,9.0,3321.222
SPD,10.0,2989.1
SPD,11.0,2717.364
SPD,12.0,2490.917
SPD,13.0,2299.308
nan,nan,nan
CDU,1.0,31232.0
CDU,2.0,15616.0
CDU,3.0,10410.667
CDU,4.0,7808.0
CDU,5.0,6246.4
CDU,6.0,5205.333
CDU,7.0,4461.714
CDU,8.0,3904.0
CDU,9.0,3470.222
CDU,10.0,3123.2
CDU,11.0,2839.273
CDU,12.0,2602.667
CDU,13.0,2402.462
CDU,14.0,2230.857
nan,nan,nan
GRÜNE,1.0,16390.0
GRÜNE,2.0,8195.0
GRÜNE,3.0,5463.333
GRÜNE,4.0,4097.5
GRÜNE,5.0,3278.0
GRÜNE,6.0,2731.667
GRÜNE,7.0,2341.429
nan,nan,nan
DIE LINKE,1.0,20564.0
DIE LINKE,2.0,10282.0
DIE LINKE,3.0,6854.667
DIE LINKE,4.0,5141.0
DIE LINKE,5.0,4112.8
DIE LINKE,6.0,3427.333
DIE LINKE,7.0,2937.714
DIE LINKE,8.0,2570.5
DIE LINKE,9.0,2284.889
nan,nan,nan
AfD,1.0,18711.0
AfD,2.0,9355.5
AfD,3.0,6237.0
AfD,4.0,4677.75
AfD,5.0,3742.2
AfD,6.0,3118.5
AfD,7.0,2673.0
AfD,8.0,2338.875
nan,nan,nan
FDP,1.0,4484.0
FDP,2.0,2242.0
nan,nan,nan
Tierschutzpartei,1.0,4646.0
Tierschutzpartei,2.0,2323.0
