age,2023_total,2023_male_diverse,2023_female,2016_total,2016_male_diverse,2016_female,comparison_total,comparison_male_diverse,comparison_female
18 bis unter 21,2.4935078700514066,2.6821434608666244,2.3260467210244604,3.0,3.0,2.9,-0.5064921299485934,-0.31785653913337564,-0.5739532789755395
21 bis unter 25,5.029413323440564,5.296669859694595,4.792156470411685,4.9,5.1,4.8,0.12941332344056367,0.1966698596945955,-0.007843529588314802
25 bis unter 30,6.778313636122741,6.874401307263197,6.693011855334903,8.2,8.4,8.0,-1.4216863638772583,-1.5255986927368035,-1.3069881446650973
30 bis unter 35,7.923048386241983,8.756409534005746,7.183232454604572,8.1,8.6,7.8,-0.1769516137580167,0.1564095340057463,-0.6167675453954278
35 bis unter 40,7.830303672690656,8.21547303769651,7.488369766394878,7.1,7.7,6.6,0.7303036726906562,0.51547303769651,0.8883697663948782
40 bis unter 45,7.035348985107846,7.685806051727051,6.457906057725975,6.2,6.6,5.8,0.8353489851078457,1.085806051727051,0.6579060577259748
45 bis unter 50,6.2032964121045095,6.367273341973291,6.057725976689509,8.0,8.5,7.5,-1.7967035878954905,-2.1327266580267086,-1.4422740233104907
50 bis unter 60,15.957390428745562,16.470389361582242,15.501975889150117,18.3,19.1,17.5,-2.342609571254439,-2.629610638417759,-1.998024110849883
60 bis unter 70,15.599660819333295,16.211190623767394,15.056775548997045,14.5,14.4,14.6,1.0996608193332946,1.8111906237673931,0.45677554899704553
70 und älter,25.14971646616143,21.440243421423336,28.442799259666856,21.6,18.5,24.5,3.5497164661614278,2.940243421423336,3.942799259666856
Insgesamt,100.0,99.99999999999997,100.0,100.0,100.0,100.0,x,x,x
