age,2023_total,2023_male_diverse,2023_female,2016_total,2016_male_diverse,2016_female,comparison_total,comparison_male_diverse,comparison_female
18 bis unter 21,20.050132619573546,20.81303510623395,19.245336643761267,11.9,11.0,12.7,8.150132619573546,9.81303510623395,6.545336643761267
21 bis unter 25,22.395898889496685,21.27708103360715,23.480715044990156,13.7,12.0,15.3,8.695898889496686,9.27708103360715,8.180715044990155
25 bis unter 30,30.4100442615698,28.0484885243813,32.49453388110465,14.7,13.3,16.1,15.710044261569802,14.748488524381298,16.39453388110465
30 bis unter 35,33.25572817460266,31.033517088972733,35.33914639215275,15.5,14.0,17.1,17.75572817460266,17.033517088972733,18.239146392152747
35 bis unter 40,31.083881386798392,28.075762068077864,34.174914688945606,15.5,14.7,16.4,15.583881386798392,13.375762068077865,17.774914688945607
40 bis unter 45,29.13906604513147,27.36580345762617,30.935023092744473,17.1,16.0,18.3,12.03906604513147,11.365803457626171,12.635023092744472
45 bis unter 50,29.096417868460925,27.198268715985975,31.087483413015068,18.2,17.3,19.1,10.896417868460926,9.898268715985974,11.987483413015067
50 bis unter 60,32.45128372468014,30.28867813172999,34.75161717462743,21.0,19.5,22.5,11.451283724680138,10.788678131729991,12.251617174627427
60 bis unter 70,31.54066141853703,30.16424820691129,32.84500861249443,23.6,22.7,24.3,7.9406614185370294,7.464248206911289,8.545008612494431
70 und älter,30.123460981524637,30.45077867962715,29.88440057951231,22.8,23.9,22.0,7.3234609815246365,6.55077867962715,7.8844005795123095
Insgesamt,30.449557743862385,28.895560903136204,31.909405867273307,19.4,18.5,20.3,11.049557743862387,10.395560903136204,11.609405867273306
