age,2023_total,2023_male_diverse,2023_female,2016_total,2016_male_diverse,2016_female,comparison_total,comparison_male_diverse,comparison_female
18 bis unter 21,16.544092089019937,16.599465231411227,16.48678491613444,11.3,9.8,12.7,5.2440920890199365,6.799465231411226,3.7867849161344402
21 bis unter 25,21.292269627986755,19.63044236789477,22.91605800471265,14.0,12.5,15.4,7.292269627986755,7.130442367894769,7.516058004712649
25 bis unter 30,26.968186608710646,22.935018953520242,30.60078593496299,16.4,14.5,18.2,10.568186608710647,8.435018953520242,12.40078593496299
30 bis unter 35,30.739589422867088,28.897001634456622,32.61774025790745,16.6,15.2,17.9,14.139589422867086,13.697001634456623,14.717740257907451
35 bis unter 40,30.08441635755168,27.822336233529303,32.34562695351094,15.5,14.8,16.3,14.584416357551682,13.022336233529302,16.045626953510936
40 bis unter 45,27.301731713302395,25.23392305617953,29.44102793583447,15.7,14.6,16.8,11.601731713302396,10.633923056179531,12.641027935834469
45 bis unter 50,27.930783692831184,25.891520951952124,29.945213104189484,18.4,17.3,19.6,9.530783692831186,8.591520951952123,10.345213104189483
50 bis unter 60,32.728953900178055,30.49179063746686,34.95548304839633,22.4,20.8,24.0,10.328953900178057,9.691790637466859,10.955483048396331
60 bis unter 70,33.94303574445158,32.24878756889891,35.55659730743797,26.4,25.1,27.6,7.543035744451579,7.148787568898911,7.956597307437967
70 und älter,35.753629736462116,35.482150689733004,35.94113276073655,27.3,28.0,26.7,8.453629736462116,7.482150689733004,9.241132760736551
Insgesamt,31.19321022988962,29.254500754951856,32.95572458623471,21.1,19.9,22.3,10.093210229889618,9.354500754951857,10.655724586234708
