district,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,others
Mitte,204255,150329,73.6,148699,18.8,12.3,26.2,17.5,4.9,7.1,13.1
Friedrichshain-Kreuzberg,168102,132435,78.8,131090,15.1,7.6,32.3,23.6,3.1,4.8,13.5
Pankow,282096,221060,78.4,219257,18.4,12.7,23.3,18.6,7.9,6.1,13
Charlottenburg-Wilmersdorf,215247,168907,78.5,166529,22.6,21,22.7,8.6,4.8,10.4,9.9
Spandau,158696,112059,70.6,109834,25.7,26.6,11.6,5.6,10,7.8,12.8
Steglitz-Zehlendorf,215825,175969,81.5,174337,22.7,25.4,19.8,6.2,5.3,11,9.7
Tempelhof-Schöneberg,229605,176776,77,174819,22.6,20.6,22,9.7,5.8,7.3,11.8
Neukölln,195615,138938,71,136938,27.2,16.2,17.6,14.3,7,5.1,12.5
Treptow-Köpenick,205948,158149,76.8,156264,21.6,14.2,13,18.7,11.9,6.6,13.9
Marzahn-Hellersdorf,197241,136667,69.3,134841,19.7,20.9,6.7,17.9,16.2,5.2,13.4
Lichtenberg,199563,145072,72.7,142844,21.1,13.9,12.3,21,11.8,5.4,14.4
Reinickendorf,175407,127917,72.9,126212,23.5,28.3,13.3,5.4,9.3,8,12.3
