electoral_district_id,electoral_district_name,district_name,eligible_voters,eligible_voters_a1,eligible_voters_a2,voters,invalid_votes,valid_votes,party_spd,party_spd_percentage,party_cdu,party_cdu_percentage,party_grüne,party_grüne_percentage,party_die_linke,party_die_linke_percentage,party_afd,party_afd_percentage,party_piraten,party_piraten_percentage,party_fdp,party_fdp_percentage,party_tierschutzpartei,party_tierschutzpartei_percentage,party_die_partei,party_die_partei_percentage,party_npd,party_npd_percentage,party_familie,party_familie_percentage,party_volksabstimmung,party_volksabstimmung_percentage,party_ödp,party_ödp_percentage,party_freie_wähler,party_freie_wähler_percentage,party_dkp,party_dkp_percentage,party_mlpd,party_mlpd_percentage,party_sgp,party_sgp_percentage,party_bp,party_bp_percentage,party_tierschutz_hier,party_tierschutz_hier_percentage,party_tierschutzallianz,party_tierschutzallianz_percentage,party_bündnis_c,party_bündnis_c_percentage,party_big,party_big_percentage,party_die_direkte,party_die_direkte_percentage,party_diem25,party_diem25_percentage,party_III_weg,party_III_weg_percentage,party_die_grauen,party_die_grauen_percentage,party_die_rechte,party_die_rechte_percentage,party_die_violetten,party_die_violetten_percentage,party_liebe,party_liebe_percentage,party_die_frauen,party_die_frauen_percentage,party_graue_panther,party_graue_panther_percentage,party_lkr,party_lkr_percentage,party_menschliche_welt,party_menschliche_welt_percentage,party_nl,party_nl_percentage,party_ökolinx,party_ökolinx_percentage,party_partei_für_die_tiere,party_partei_für_die_tiere_percentage,party_gesundheitsforschung,party_gesundheitsforschung_percentage,party_volt,party_volt_percentage
110000000000,Bundesland 11,Berlin,2508435,2002740,505695,1520678,60,13321,1507357,211717.0,14,229352.0,15,419377.0,27,179943.0,11,149177.0,9,12422.0,0,71576.0,4,29702.0,2,72846.0,4,3183.0,0,9743.0,0,2202.0,0,8893.0,0,8109.0,0,2439.0,0,1016.0,0,431.0,0,1049.0,0,4902.0,0,3130.0,0,1462.0,0,4303.0,0,2837.0,0,1194.0,0,18675.0,1,511.0,0,6870.0,0,664.0,0,1385.0,0,1613.0,0,2632.0,0,6617.0,0,1713.0,0,1939.0,0,928.0,0,4380.0,0,3410.0,0,3326.0
110000000000_O,Berlin-Ost,Berlin,1048760,849670,199090,626543,59,5576,620967,75887.0,12,67328.0,10,152694.0,24,113526.0,18,75514.0,12,5378.0,0,22926.0,3,12860.0,2,35264.0,5,2113.0,0,5421.0,0,1082.0,0,3852.0,0,3950.0,0,1738.0,0,477.0,0,213.0,0,322.0,0,2088.0,0,1438.0,0,475.0,0,323.0,0,1299.0,0,654.0,0,7539.0,1,350.0,0,3175.0,0,302.0,0,606.0,0,862.0,0,1299.0,0,3134.0,0,715.0,0,874.0,0,462.0,0,1701.0,0,1645.0,0,1523.0
110000000000_W,Berlin-West,Berlin,1459675,1153070,306605,894135,61,7745,886390,135830.0,15,162024.0,18,266683.0,30,66417.0,7,73663.0,8,7044.0,0,48650.0,5,16842.0,1,37582.0,4,1070.0,0,4322.0,0,1120.0,0,5041.0,0,4159.0,0,701.0,0,539.0,0,218.0,0,727.0,0,2814.0,0,1692.0,0,987.0,0,3980.0,0,1538.0,0,540.0,0,11136.0,1,161.0,0,3695.0,0,362.0,0,779.0,0,751.0,0,1333.0,0,3483.0,0,998.0,0,1065.0,0,466.0,0,2679.0,0,1765.0,0,1803.0
110000000001,Bezirk 01,Mitte,210118,166522,43596,127745,60,950,126795,17045.0,13,13413.0,10,43276.0,34,15949.0,12,8173.0,6,1257.0,1,5835.0,4,1954.0,1,7771.0,6,144.0,0,382.0,0,109.0,0,711.0,0,432.0,0,209.0,0,98.0,0,42.0,0,57.0,0,287.0,0,179.0,0,110.0,0,813.0,0,297.0,0,83.0,0,2532.0,2,27.0,0,373.0,0,33.0,0,117.0,0,105.0,0,222.0,0,357.0,0,112.0,0,137.0,0,116.0,0,528.0,0,393.0,0,196.0
110000000002,Bezirk 02,Friedrichshain-Kreuzberg,174282,135597,38685,117260,67,566,116694,12268.0,10,6681.0,5,47036.0,40,18559.0,15,4629.0,4,1181.0,1,3064.0,2,1831.0,1,10329.0,8,89.0,0,243.0,0,110.0,0,581.0,0,331.0,0,213.0,0,98.0,0,33.0,0,23.0,0,205.0,0,143.0,0,49.0,0,625.0,0,307.0,0,70.0,0,3121.0,2,12.0,0,198.0,0,31.0,0,120.0,0,92.0,0,221.0,0,212.0,0,63.0,0,171.0,0,74.0,0,961.0,0,263.0,0,119.0
110000000003,Bezirk 03,Pankow,288978,226395,62583,189663,65,1282,188381,23189.0,12,19246.0,10,58980.0,31,28835.0,15,17988.0,9,1485.0,0,6672.0,3,3536.0,1,11025.0,5,366.0,0,1212.0,0,256.0,0,1329.0,0,1092.0,0,446.0,0,117.0,0,67.0,0,73.0,0,554.0,0,358.0,0,160.0,0,94.0,0,470.0,0,190.0,0,2769.0,1,77.0,0,801.0,0,72.0,0,185.0,0,243.0,0,387.0,0,767.0,0,165.0,0,233.0,0,149.0,0,595.0,0,452.0,0,408.0
110000000004,Bezirk 04,Charlottenburg-Wilmersdorf,221319,169107,52212,146465,66,963,145502,23662.0,16,27320.0,18,47525.0,32,8816.0,6,10248.0,7,957.0,0,10120.0,7,2283.0,1,4932.0,3,109.0,0,476.0,0,120.0,0,788.0,0,599.0,0,74.0,0,53.0,0,25.0,0,107.0,0,352.0,0,198.0,0,113.0,0,302.0,0,213.0,0,75.0,0,1529.0,1,15.0,0,405.0,0,46.0,0,104.0,0,89.0,0,180.0,0,423.0,0,155.0,0,167.0,0,82.0,0,226.0,0,318.0,0,231.0
110000000005,Bezirk 05,Spandau,162066,136010,26056,86629,53,1105,85524,15112.0,17,19322.0,22,17514.0,20,4971.0,5,10636.0,12,720.0,0,4880.0,5,2327.0,2,2684.0,3,152.0,0,819.0,1,171.0,0,557.0,0,621.0,0,49.0,0,79.0,0,16.0,0,105.0,0,411.0,0,257.0,0,129.0,0,330.0,0,132.0,0,79.0,0,472.0,0,25.0,0,489.0,0,48.0,0,82.0,0,125.0,0,129.0,0,502.0,0,100.0,0,105.0,0,32.0,0,77.0,0,160.0,0,287.0
110000000006,Bezirk 06,Steglitz-Zehlendorf,221217,162922,58295,152659,69,966,151693,23593.0,15,34851.0,23,45888.0,30,7139.0,4,11355.0,7,1077.0,0,11122.0,7,2476.0,1,4301.0,2,132.0,0,678.0,0,184.0,0,906.0,0,759.0,0,63.0,0,50.0,0,43.0,0,144.0,0,456.0,0,244.0,0,192.0,0,200.0,0,194.0,0,71.0,0,1148.0,0,23.0,0,428.0,0,55.0,0,135.0,0,104.0,0,181.0,0,479.0,0,234.0,0,185.0,0,84.0,0,209.0,0,265.0,0,274.0
110000000007,Bezirk 07,Tempelhof-Schöneberg,236121,183099,53022,148876,63,1237,147639,22810.0,15,26294.0,17,47969.0,32,10357.0,7,11714.0,7,1204.0,0,7498.0,5,2711.0,1,5772.0,3,156.0,0,712.0,0,199.0,0,826.0,0,742.0,0,103.0,0,74.0,0,44.0,0,107.0,0,385.0,0,316.0,0,185.0,0,545.0,0,261.0,0,84.0,0,1673.0,1,19.0,0,592.0,0,55.0,0,112.0,0,140.0,0,223.0,0,601.0,0,187.0,0,183.0,0,79.0,0,346.0,0,256.0,0,260.0
