age,2019_total,2019_male,2019_female,2014_total,2014_male,2014_female,comparison_total,comparison_male,comparison_female
18 bis unter 21,2,2.3,1.7,1.6,1.6,1.6,0.4,0.7,0.1
21 bis unter 25,3.5,3.5,3.5,4.1,4.3,4,-0.6,-0.8,-0.5
25 bis unter 30,6.1,6.1,6,9,9.2,8.8,-2.9,-3.1,-2.8
30 bis unter 35,10.3,10.4,10.2,9.3,9.8,8.9,1,0.6,1.3
35 bis unter 40,10.1,10.9,9.5,8.2,8.7,7.6,1.9,2.2,1.9
40 bis unter 45,8.3,9.1,7.6,7.3,7.9,6.6,1,1.2,1
45 bis unter 50,7.2,7.8,6.7,8.8,9.3,8.2,-1.6,-1.5,-1.5
50 bis unter 60,17.4,18.8,16.1,17.4,18,16.9,0,0.8,-0.8
60 bis unter 70,14,13.8,14.2,12.8,12.7,13,1.2,1.1,1.2
70 und älter,21.1,17.3,24.5,21.5,18.5,24.3,-0.4,-1.2,0.2
