age,2019_total,2019_male,2019_female,2014_total,2014_male,2014_female,comparison_total,comparison_male,comparison_female
18 bis unter 21,10.5,11,10,7.8,7.7,7.9,2.7,3.3,2.1
21 bis unter 25,15.2,12.2,18.3,9.6,7.4,11.8,5.6,4.8,6.5
25 bis unter 30,18.5,16.5,20.6,11.8,9.8,13.7,6.7,6.7,6.9
30 bis unter 35,17.8,16.9,18.7,12.1,10.7,13.6,5.7,6.2,5.1
35 bis unter 40,16.4,15,17.9,11.1,10.8,11.3,5.3,4.2,6.6
40 bis unter 45,15,15.4,14.7,12.6,12,13.2,2.4,3.4,1.5
45 bis unter 50,16,14.8,17.1,13.5,13.3,13.7,2.5,1.5,3.4
50 bis unter 60,21,19.6,22.3,16.8,15.4,18.2,4.2,4.2,4.1
60 bis unter 70,25.2,23.7,26.5,21.8,21.1,22.6,3.4,2.6,3.9
70 und älter,27.3,27.8,27,22.3,23.1,21.7,5,4.7,5.3
