age,2019_total,2019_male,2019_female,2014_total,2014_male,2014_female,comparison_total,comparison_male,comparison_female
18 bis unter 21,11.6,11.5,11.8,7.6,7.4,7.8,4,4.1,4
21 bis unter 25,15.3,12.4,18.1,9.2,7.1,11.1,6.1,5.3,7
25 bis unter 30,18.1,15.8,20.3,10.9,9.3,12.5,7.2,6.5,7.8
30 bis unter 35,17.9,16.9,18.9,11.5,10.1,12.8,6.4,6.8,6.1
35 bis unter 40,16.9,15.8,18.1,11.1,10.6,11.7,5.8,5.2,6.4
40 bis unter 45,16.2,16.1,16.2,12.4,12.3,12.5,3.8,3.8,3.7
45 bis unter 50,16.6,15.4,17.8,13,12.6,13.3,3.6,2.8,4.5
50 bis unter 60,20.3,18.9,21.8,15.5,14.4,16.6,4.8,4.5,5.2
60 bis unter 70,23.6,22.3,24.7,19.2,18.8,19.7,4.4,3.5,5
70 und älter,24.9,25.6,24.4,19.5,20.2,18.9,5.4,5.4,5.5
