age,2019_total,2019_male,2019_female,2014_total,2014_male,2014_female,comparison_total,comparison_male,comparison_female
18 bis unter 21,58.4,57.9,59.1,37.5,36.8,38.2,20.9,21.1,20.9
21 bis unter 25,58.1,56.8,59.3,36.9,34.6,39.2,21.2,22.2,20.1
25 bis unter 30,57.3,54.6,59.9,39.0,39.5,38.6,18.3,15.1,21.3
30 bis unter 35,61.6,59.7,63.4,41.4,39.8,43.0,20.2,19.9,20.4
35 bis unter 40,63.3,61.2,65.4,44.3,43.7,44.9,19.0,17.5,20.5
40 bis unter 45,63.1,62.9,63.3,46.3,47.2,45.4,16.8,15.7,17.9
45 bis unter 50,65.1,63.7,66.5,46.2,45.1,47.4,18.9,18.6,19.1
50 bis unter 60,61.3,60.0,62.6,43.9,44.0,43.9,17.4,16.0,18.7
60 bis unter 70,60.7,60.2,61.1,47.0,48.8,45.4,13.7,11.4,15.7
70 und älter,58.2,61.5,56.1,45.9,50.5,42.7,12.3,11.0,13.4
