age,2019_total,2019_male,2019_female,2014_total,2014_male,2014_female,comparison_total,comparison_male,comparison_female
18 bis unter 21,58.6,55.3,62.1,39.3,37.8,40.8,19.3,17.5,21.3
21 bis unter 25,60,57.2,62.7,41.4,39.4,43.2,18.6,17.8,19.5
25 bis unter 30,57.8,55,60.7,46,44.4,47.5,11.8,10.6,13.2
30 bis unter 35,58.7,58,59.4,47.9,46,49.9,10.8,12,9.5
35 bis unter 40,59,56.7,61.3,48.1,49,47.2,10.9,7.7,14.1
40 bis unter 45,60,59.4,60.7,49.3,48.6,50,10.7,10.8,10.7
45 bis unter 50,61.2,59.8,62.6,51.5,51.6,51.4,9.7,8.2,11.2
50 bis unter 60,64.3,62.9,65.6,53.1,52.2,54,11.2,10.7,11.6
60 bis unter 70,65.4,64.2,66.4,57.2,57.1,57.4,8.2,7.1,9
70 und älter,65,67.5,63.1,53.2,57.9,50,11.8,9.6,13.1
