age,2019_total,2019_male,2019_female,2014_total,2014_male,2014_female,comparison_total,comparison_male,comparison_female
18 bis unter 21,58.6,56.2,61.1,38.7,37.5,40.0,19.9,18.7,21.1
21 bis unter 25,59.4,57.1,61.6,39.9,37.8,41.9,19.5,19.3,19.7
25 bis unter 30,57.6,54.9,60.3,43.1,42.4,43.9,14.5,12.5,16.4
30 bis unter 35,60.1,58.8,61.4,45.1,43.3,46.9,15.0,15.5,14.5
35 bis unter 40,61.1,59.0,63.3,46.4,46.6,46.2,14.7,12.4,17.1
40 bis unter 45,61.5,61.1,61.9,48.0,48.0,48.1,13.5,13.1,13.8
45 bis unter 50,62.9,61.6,64.3,49.4,48.9,49.8,13.5,12.7,14.5
50 bis unter 60,63.1,61.7,64.4,49.4,48.8,49.9,13.7,12.9,14.5
60 bis unter 70,63.5,62.6,64.3,53.2,53.8,52.7,10.3,8.8,11.6
70 und älter,62.3,65.2,60.2,50.1,54.7,46.9,12.2,10.5,13.3
