feature,european_election_2019,european_election_2019_percentage,federal_election_2021,federal_election_2021_percentage,berlin_election_2023,berlin_election_2023_percentage
Wahlberechtigte,1048760,x,1031698,x,1021693,x
Wählende³,626543,59.7,706445,68.5,643973,63
Briefwählende,185042,29.5,326192,46.2,278606,43.3
Ungültige Stimmen,5576,0.9,10769,98.5,4658,0.7
Gültige Stimmen,620967,99.1,695676,1.5,638709,99.3
GRÜNE,152694,24.6,137075,19.7,104901,16.4
CDU,67328,10.8,95739,13.8,154993,24.3
SPD,75887,12.2,142565,20.5,104603,16.4
DIE LINKE,113526,18.3,113834,16.4,106388,16.7
AfD,75514,12.2,87561,12.6,77963,12.2
Die PARTEI,35264,5.7,13968,2,10816,1.7
FDP,22926,3.7,46146,6.6,23675,3.7
Tierschutzpartei,12860,2.1,21002,3,17422,2.7
DiEM25,7539,1.2,x,x,x,x
Volt,7757,1.2,4604,0.7,6199,1
PIRATEN,5378,0.9,3045,0.4,2309,0.4
FAMILIE,5421,0.9,x,x,x,x
ÖDP,3852,0.6,1104,0.2,740,0.1
FREIE WÄHLER,3950,0.6,7014,1,2185,0.3
Die Grauen,3175,0.5,8847,1.3,3531,0.6
Graue Panther,3134,0.5,x,x,3062,0.5
TIERSCHUTZ hier!,2088,0.3,x,x,x,x
ÖkoLinX,1701,0.3,x,x,x,x
BIG,323,0.1,x,x,x,x
Verjüngungsforschung⁴,2201,0.4,2468,0.4,2221,0.3
Die Humanisten,1645,0.3,1553,0.2,1277,0.2
PARTEI FÜR DIE TIERE,1523,0.2,x,x,x,x
HEIMAT⁵,2113,0.3,1221,0.2,1102,0.2
Tierschutzallianz,1438,0.2,x,x,x,x
BGE,1299,0.2,x,x,x,x
DIE FRAUEN,1299,0.2,x,x,x,x
DKP,1738,0.3,1502,0.2,1697,0.3
Volksabstimmung,1082,0.2,x,x,x,x
MENSCHLICHE WELT,874,0.1,x,x,x,x
Wir Bürger⁶,715,0.1,803,0.1,232,0
LIEBE,862,0.1,x,x,x,x
Bündnis C,475,0.1,x,x,x,x
DIE VIOLETTEN,606,0.1,x,x,x,x
DIE DIREKTE!,654,0.1,x,x,x,x
BP,322,0.1,x,x,x,x
MLPD,477,0.1,422,0.1,x,x
NL,462,0.1,x,x,x,x
DIE RECHTE,302,0,x,x,x,x
III. Weg,350,0.1,x,x,x,x
SGP,213,0,212,0,426,0.1
