feature,european_election_2019,european_election_2019_percentage,federal_election_2021,federal_election_2021_percentage,berlin_election_2023,berlin_election_2023_percentage
Wahlberechtigte,1459675,x,1428920,x,1410083,x
Wählende³,894135,61.3,1003293,70.2,885585,62.8
Briefwählende,284751,31.8,478058,47.6,401865,45.4
Ungültige Stimmen,7745,0.9,16024,98.4,6381,0.7
Gültige Stimmen,886390,99.1,987269,1.6,878151,99.3
GRÜNE,266683,30.1,233660,23.7,174063,19.8
CDU,162024,18.3,193401,19.6,273235,31.1
SPD,135830,15.3,231848,23.5,174414,19.9
DIE LINKE,66417,7.5,80176,8.1,78731,9
AfD,73663,8.3,71464,7.2,59908,6.8
Die PARTEI,37582,4.2,13231,1.3,10754,1.2
FDP,48650,5.5,90852,9.2,46741,5.3
Tierschutzpartei,16842,1.9,22596,2.3,18851,2.1
DiEM25,11136,1.3,x,x,x,x
Volt,10223,1.2,5867,0.6,7848,0.9
PIRATEN,7044,0.8,3535,0.4,2836,0.3
FAMILIE,4322,0.5,x,x,x,x
ÖDP,5041,0.6,1509,0.2,934,0.1
FREIE WÄHLER,4159,0.5,7939,0.8,1738,0.2
Die Grauen,3695,0.4,8457,0.9,2916,0.3
Graue Panther,3483,0.4,x,x,3213,0.4
TIERSCHUTZ hier!,2814,0.3,x,x,x,x
ÖkoLinX,2679,0.3,x,x,x,x
BIG,3980,0.4,x,x,x,x
Verjüngungsforschung⁴,1508,0.2,1829,0.2,1547,0.2
Die Humanisten,1765,0.2,1682,0.2,1382,0.2
PARTEI FÜR DIE TIERE,1803,0.2,x,x,x,x
HEIMAT⁵,1070,0.1,545,0.1,489,0.1
Tierschutzallianz,1692,0.2,x,x,x,x
BGE,1538,0.2,x,x,x,x
DIE FRAUEN,1333,0.2,x,x,x,x
DKP,701,0.1,685,0.1,820,0.1
Volksabstimmung,1120,0.1,x,x,x,x
MENSCHLICHE WELT,1065,0.1,x,x,163,0
Wir Bürger⁶,998,0.1,598,0.1,243,0
LIEBE,751,0.1,x,x,x,x
Bündnis C,987,0.1,x,x,x,x
DIE VIOLETTEN,779,0.1,x,x,x,x
DIE DIREKTE!,540,0.1,x,x,x,x
BP,727,0.1,x,x,x,x
MLPD,539,0.1,328,0,x,x
NL,466,0.1,x,x,x,x
DIE RECHTE,362,0,x,x,x,x
III. Weg,161,0,x,x,x,x
SGP,218,0,216,0,375,0
Sonstige,x,x,16851,1.5,95004,2
