feature,european_election_2019,european_election_2019_percentage,federal_election_2021,federal_election_2021_percentage,berlin_election_2023,berlin_election_2023_percentage
Wahlberechtigte,2508435,x,2460618,x,2431776,x
Wählende³,1520678,60.6,1709738,69.5,1529558,62.9
Briefwählende,469793,30.9,804250,47,680471,44.5
Ungültige Stimmen,13321,0.9,26793,98.4,11039,0.7
Gültige Stimmen,1507357,99.1,1682945,1.6,1516860,99.3
davon,,,,,,
GRÜNE,419377,27.8,370735,22,278964,18.4
CDU,229352,15.2,289140,17.2,428228,28.2
SPD,211717,14,374413,22.2,279017,18.4
DIE LINKE,179943,11.9,194010,11.5,185119,12.2
AfD,149177,9.9,159025,9.4,137871,9.1
Die PARTEI,72846,4.8,27199,1.6,21570,1.4
FDP,71576,4.7,136998,8.1,70416,4.6
Tierschutzpartei,29702,2,43598,2.6,36273,2.4
DiEM25,18675,1.2,x,x,x,x
Volt,17980,1.2,10471,0.6,14047,0.9
PIRATEN,12422,0.8,6580,0.4,5145,0.3
FAMILIE,9743,0.6,x,x,x,x
ÖDP,8893,0.6,2613,0.2,1674,0.1
FREIE WÄHLER,8109,0.5,14953,0.9,3923,0.3
Die Grauen,6870,0.5,17304,1,6447,0.4
Graue Panther,6617,0.4,x,x,6275,0.4
TIERSCHUTZ hier!,4902,0.3,x,x,x,x
ÖkoLinX,4380,0.3,x,x,x,x
BIG,4303,0.3,x,x,x,x
Verjüngungsforschung⁴,3709,0.2,4297,0.3,3768,0.2
Die Humanisten,3410,0.2,3235,0.2,2659,0.2
PARTEI FÜR DIE TIERE,3326,0.2,x,x,x,x
HEIMAT⁵,3183,0.2,1766,0.1,1591,0.1
Tierschutzallianz,3130,0.2,x,x,x,x
BGE,2837,0.2,x,x,x,x
