district_name,total,between_18_and_25,between_18_and_25_percentage,between_25_and_35,between_25_and_35_percentage,between_35_and_45,between_35_and_45_percentage,between_45_and_60,between_45_and_60_percentage,between_60_and_70,between_60_and_70_percentage,between_above_70,between_above_70_percentage
Mitte,208231,24768,11.9,46721,22.4,38295,18.4,44009,21.1,25941,12.5,28497,13.7
Friedrichshain-Kreuzberg,170739,17729,10.4,34872,20.4,40094,23.5,41559,24.3,19538,11.4,16947,9.9
Pankow,287461,27580,9.6,40329,14,55856,19.4,81425,28.3,37116,12.9,45155,15.7
Charlottenburg-Wilmersdorf,218091,20580,9.4,32616,15,29789,13.7,47392,21.7,34741,15.9,52973,24.3
Spandau,159935,17266,10.8,21442,13.4,22450,14,35408,22.1,26291,16.4,37078,23.2
Steglitz-Zehlendorf,218352,21861,10,23939,11,27878,12.8,51705,23.7,34842,16,58127,26.6
Tempelhof-Schöneberg,233013,23547,10.1,34741,14.9,35189,15.1,52709,22.6,36782,15.8,50045,21.5
Neukölln,196920,21451,10.9,33847,17.2,35663,18.1,41288,21,27827,14.1,36844,18.7
Treptow-Köpenick,209757,18567,8.9,27833,13.3,38224,18.2,48268,23,31722,15.1,45143,21.5
Marzahn-Hellersdorf,201031,18650,9.3,21820,10.9,35284,17.6,42725,21.3,40287,20,42265,21
Lichtenberg,199848,18001,9,27851,13.9,39781,19.9,41000,20.5,30961,15.5,42254,21.1
Reinickendorf,176459,18170,10.3,21833,12.4,23051,13.1,39647,22.5,29353,16.6,44405,25.2
