district_name,total,in_sgb_II_communities_of_need,in_sgb_II_communities_of_need_percentage
Mitte,345328,62333,18.1
Friedrichshain-Kreuzberg,262600,37499,14.3
Pankow,358624,28497,7.9
Charlottenburg-Wilmersdorf,262502,27418,10.4
Spandau,200925,41351,20.6
Steglitz-Zehlendorf,231932,17419,7.5
Tempelhof-Schöneberg,279539,40878,14.6
Neukölln,272038,57856,21.3
Treptow-Köpenick,229235,26401,11.5
Marzahn-Hellersdorf,224341,36404,16.2
Lichtenberg,249997,38997,15.6
Reinickendorf,206271,38139,18.5
nicht zuordenbar………………,-,8451,-
