electoral_district_id,electoral_district_name,eligible_voters,voters,valid_second_votes,party_cdu,party_spd,party_die_linke,party_grüne,party_afd,party_piraten,party_fdp,party_npd,party_die_partei,party_freie_wähler,party_pro_deutschland,party_ödp,party_big,party_rep,party_büso,party_mlpd,party_psg
75.0,Berlin-Mitte,204085,141574.0,139400.0,31544.0,36403.0,26068.0,23329.0,5443.0,6608.0,5134.0,1234.0,1686.0,304.0,292.0,319.0,473.0,198.0,144.0,145.0,76.0
76.0,Berlin-Pankow,235344,175061.0,172824.0,40617.0,38030.0,43472.0,24300.0,8372.0,6767.0,4380.0,2597.0,1984.0,665.0,457.0,416.0,84.0,231.0,182.0,146.0,124.0
77.0,Berlin-Reinickendorf,182934,133484.0,131056.0,52545.0,34571.0,10394.0,11427.0,7906.0,3417.0,5708.0,1976.0,1074.0,661.0,449.0,240.0,209.0,310.0,75.0,44.0,50.0
78.0,"Berlin-Spandau –
Charlottenburg Nord",187363,130485.0,127846.0,46757.0,36932.0,12146.0,10542.0,7458.0,3960.0,4856.0,1815.0,1038.0,550.0,494.0,224.0,460.0,310.0,164.0,85.0,55.0
79.0,Berlin-Steglitz-Zehlendorf,220007,175539.0,173437.0,64500.0,44371.0,12426.0,23487.0,9257.0,4358.0,11057.0,1016.0,1155.0,552.0,331.0,353.0,160.0,169.0,140.0,55.0,50.0
80.0,Berlin-Charlottenburg-Wilmersdorf,197797,153420.0,151665.0,49285.0,41058.0,13446.0,23324.0,7276.0,3872.0,10347.0,639.0,976.0,457.0,220.0,242.0,205.0,114.0,120.0,45.0,39.0
81.0,Berlin-Tempelhof-Schöneberg,235259,177205.0,174432.0,55275.0,47834.0,17937.0,26941.0,7988.0,5526.0,7134.0,1588.0,1578.0,759.0,481.0,342.0,473.0,219.0,221.0,73.0,63.0
82.0,Berlin-Neukölln,205635,140825.0,137957.0,40038.0,36211.0,19677.0,19156.0,5832.0,5654.0,4122.0,2627.0,2060.0,689.0,454.0,255.0,617.0,216.0,126.0,143.0,80.0
83.0,"Berlin-Friedrichshain-Kreuzberg –
Prenzlauer Berg Ost",226240,168048.0,165690.0,25474.0,39784.0,41639.0,34420.0,4623.0,9612.0,3579.0,1140.0,3142.0,477.0,252.0,426.0,594.0,107.0,86.0,209.0,126.0
84.0,Berlin-Treptow - Köpenick,201629,148406.0,146281.0,37170.0,31204.0,43118.0,10787.0,8106.0,5176.0,2904.0,3795.0,1487.0,894.0,524.0,328.0,88.0,227.0,199.0,191.0,83.0
85.0,Berlin-Marzahn - Hellersdorf,203968,132817.0,130732.0,33947.0,25103.0,43026.0,5068.0,8319.0,3996.0,2278.0,5101.0,1114.0,752.0,1116.0,202.0,73.0,243.0,181.0,111.0,102.0
86.0,Berlin-Lichtenberg,205457,138551.0,136401.0,31491.0,27886.0,47158.0,7956.0,7480.0,5072.0,2117.0,3486.0,1379.0,771.0,595.0,265.0,73.0,220.0,172.0,163.0,117.0
