election_date,total,party_cdu,party_spd,party_die_linke,party_grüne,party_fdp,party_fdv
1949-08-14 00:00:00,19,5,9,x,x,5,x
1953-09-06 00:00:00,22,6,11,x,x,5,x
1957-09-15 00:00:00,22,7,12,x,x,2,1
1961-09-17 00:00:00,22,9,13,x,x,x,x
1965-09-19 00:00:00,22,6,15,x,x,1,x
1969-09-28 00:00:00,22,8,13,x,x,1,x
1972-11-19 00:00:00,22,9,12,x,x,1,x
1976-10-03 00:00:00,22,11,10,x,x,1,x
1980-10-05 00:00:00,22,11,10,x,x,1,x
1983-03-06 00:00:00,22,11,9,x,1,1,x
1987-01-25 00:00:00,22,11,7,x,2,2,x
1990-12-02 00:00:00,28,12,9,3,1,3,x
1994-10-16 00:00:00,27,9,9,4,3,2,x
1998-09-27 00:00:00,25,7,10,4,3,1,x
2002-09-22 00:00:00,23,6,9,2,4,2,x
2005-09-18 00:00:00,22,5,8,4,3,2,x
2009-09-27 00:00:00,23,6,5,5,4,3,x
