electoral_district_id,electoral_district_name,total,between_18_and_25,between_18_and_25_percentage,between_25_and_35,between_25_and_35_percentage,between_35_and_45,between_35_and_45_percentage,between_45_and_60,between_45_and_60_percentage,between_60_and_70,between_60_and_70_percentage,above_70,above_70_percentage
75,Berlin-Mitte,205543,20902,10.2,50229,24.4,33266,16.2,49205,23.9,22482,10.9,29459,14.3
76,Berlin-Pankow,236084,13671,5.8,45151,19.1,47633,20.2,68210,28.9,24843,10.5,36576,15.5
77,Berlin-Reinickendorf,182483,14964,8.2,24057,13.2,20882,11.4,49861,27.3,28366,15.5,44353,24.3
78,Berlin-Spandau –Charlottenburg Nord,184929,15907,8.6,27224,14.7,22696,12.3,50085,27.1,27356,14.8,41661,22.5
79,Berlin-Steglitz-Zehlendorf,219797,16505,7.5,25895,11.8,26771,12.2,60997,27.8,34544,15.7,55085,25.1
80,Berlin-Charlottenburg-Wilmersdorf,196731,14811,7.5,27835,14.1,24661,12.5,52471,26.7,32044,16.3,44909,22.8
81,Berlin-Tempelhof-Schöneberg,234650,18812,8,36994,15.8,31586,13.5,64673,27.6,35240,15,47345,20.2
82,Berlin-Neukölln,202917,17813,8.8,41554,20.5,29756,14.7,49653,24.5,26626,13.1,37515,18.5
83,Berlin-Friedrichshain-Kreuzberg –Prenzlauer Berg Ost,222062,16294,7.3,58047,26.1,49728,22.4,53785,24.2,19217,8.7,24991,11.3
84,Berlin-Treptow-Köpenick,203869,12106,5.9,34859,17.1,29558,14.5,54933,26.9,25403,12.5,47010,23.1
85,Berlin-Marzahn-Hellersdorf,200796,12497,6.2,34522,17.2,26476,13.2,57903,28.8,35805,17.8,33593,16.7
86,Berlin-Lichtenberg,205576,12830,6.2,42616,20.7,30290,14.7,49886,24.3,28487,13.9,41467,20.2
