age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 21,68.9,67.8,70.1,59.8,57.9,61.6,9.1,9.9,8.5
21 bis unter 25,66.4,65,67.8,60.1,58.2,61.9,6.3,6.8,5.9
25 bis unter 30,70.2,68.1,72.4,67.2,66.5,67.8,3,1.6,4.6
30 bis unter 35,75.3,73.6,76.9,70.3,69.1,71.6,5,4.5,5.3
35 bis unter 40,76.7,74.1,79.5,72.1,71,73.2,4.6,3.1,6.3
40 bis unter 45,77.3,76.3,78.4,73.9,73,74.9,3.4,3.3,3.5
45 bis unter 50,80.1,78.1,82.3,75.1,73.9,76.4,5,4.2,5.9
50 bis unter 60,77.9,77.8,78.1,73.6,72.9,74.4,4.3,4.9,3.7
60 bis unter 70,78.3,78,78.5,77.9,78,77.8,0.4,0,0.7
70 und älter,73.8,77.2,71.5,74.5,78.6,71.6,-0.7,-1.4,-0.1
