address,vote_type,district_id,district_name,electoral_district_id,electoral_district_type,postal_voting_district_id,electoral_district_berlin_election_id,electoral_district_federal_election_id,berlin_east_west,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,valid_votes,invalid_votes,party_cdu,party_die_linke,party_spd,party_grüne,party_afd,party_fdp,party_die_partei,party_tierschutzpartei,party_piraten,party_die_grauen,party_freie_wähler,party_verjüngungsforschung,party_ödp,party_du,party_v_partei3,party_dkp,party_mlpd,party_büso,party_sgp,party_wir_bürger,party_heimat,party_die_humanisten,party_team_todenhöfer,party_volt,party_die_basis,party_b,others,party_bündnis_21,other_applicant_1,other_applicant_2,other_applicant_3,other_applicant_meschliche_welt,other_applicant_4,other_applicant_5,other_applicant_6,other_applicant_7,other_applicant_8,other_applicant_9,aufn,partial_election_repetition
01W100,Erststimme,01,Mitte,100,W,011A,1,75,W,1639,1112,527,0,287,2,285,2,38,11,58,104,24,29,9,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,,Teilwiederholungswahl 2024
01W101,Erststimme,01,Mitte,101,W,011B,1,75,O,971,623,348,0,270,8,265,5,65,22,38,98,18,12,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Teilwiederholungswahl 2024
01W102,Erststimme,01,Mitte,102,W,011B,1,75,O,1223,826,397,0,279,1,277,2,48,37,47,74,34,12,7,9,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,Teilwiederholungswahl 2024
01W103,Erststimme,01,Mitte,103,W,011C,1,75,O,1048,449,599,0,330,10,329,1,55,21,54,118,15,43,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W104,Erststimme,01,Mitte,104,W,011D,1,75,O,1321,642,679,0,525,17,519,6,73,46,101,194,16,51,7,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W105,Erststimme,01,Mitte,105,W,011D,1,75,O,1045,579,466,0,436,11,427,9,57,68,96,131,25,26,5,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W106,Erststimme,01,Mitte,106,W,011E,1,75,O,1455,962,493,0,393,11,392,1,90,53,73,110,25,21,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,Teilwiederholungswahl 2024
01W107,Erststimme,01,Mitte,107,W,011F,1,75,O,1086,790,296,0,309,17,308,1,54,37,41,117,31,16,5,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,Teilwiederholungswahl 2024
01W108,Erststimme,01,Mitte,108,W,011E,1,75,O,1075,724,351,0,233,4,228,5,52,32,27,61,28,14,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,Teilwiederholungswahl 2024
01W109,Erststimme,01,Mitte,109,W,011G,1,75,W,1090,859,231,0,206,3,203,3,46,26,31,37,39,6,2,9,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Teilwiederholungswahl 2024
01W110,Erststimme,01,Mitte,110,W,011G,1,75,W,1247,867,380,0,445,7,445,0,67,48,74,199,26,13,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Teilwiederholungswahl 2024
01W111,Erststimme,01,Mitte,111,W,011H,1,75,O,1041,521,520,0,427,16,425,2,57,49,91,162,12,31,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W112,Erststimme,01,Mitte,112,W,011F,1,75,O,1175,836,339,0,373,10,368,5,44,51,57,150,26,9,11,7,4,0,0,0,0,0,0,0,2,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,Teilwiederholungswahl 2024
01W113,Erststimme,01,Mitte,113,W,011I,1,75,O,1471,1068,403,0,509,12,507,2,64,53,86,224,38,12,11,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,Teilwiederholungswahl 2024
01W114,Erststimme,01,Mitte,114,W,011H,1,75,O,1475,810,665,0,639,23,633,6,59,93,110,248,19,38,21,4,3,0,0,0,1,0,0,0,0,0,0,1,0,2,0,10,22,0,0,0,0,0,0,0,0,0,0,0,2,0,,
01W115,Erststimme,01,Mitte,115,W,011J,1,75,O,850,522,328,0,382,7,376,6,50,52,83,87,32,35,16,6,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W116,Erststimme,01,Mitte,116,W,011J,1,75,O,706,374,332,0,291,18,288,3,38,34,55,96,19,24,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,1,0,0,,
01W117,Erststimme,01,Mitte,117,W,011I,1,75,O,1294,903,391,0,394,10,394,0,39,47,74,189,15,13,8,3,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Teilwiederholungswahl 2024
01W118,Erststimme,01,Mitte,118,W,011K,1,75,O,1327,734,593,0,605,25,603,2,60,83,98,253,17,53,10,5,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,16,3,0,0,0,0,0,0,0,0,0,0,0,1,0,,
