feature,federal_election_2017,federal_election_2017_percentage,european_election_2019,european_election_2019_percentage,berlin_election_2023,berlin_election_2023_percentage
Wahlberechtigte,2503070,,25084435,,2431776,
Wählende,1892134,75.6,1520678,60.6,1529558,62.9
Briefwählende,631774,33.4,469793,30.9,680471,44.5
Ungültige Stimmen,23092,1.2,13321,0.9,11039,0.7
Gültige Stimmen,1869042,98.8,1507357,99.1,1516860,99.3
CDU,424321,22.7,229352,15.2,428228,28.2
DIE LINKE,351170,18.8,179943,11.9,185119,12.2
SPD,334253,17.9,211717,14,279017,18.4
GRÜNE,234947,12.6,419377,27.8,278964,18.4
AfD,225170,12,149177,9.9,137871,9.1
FDP,167046,8.9,71576,4.7,70416,4.6
Sonstige,132135,7.1,246215,16.3,137245,9
