electoral_district_id,electoral_district_name,eligible_voters,voters,valid_first_votes,party_cdu,party_die_linke,party_spd,party_grüne,party_afd,party_fdp,others
75,Berlin-Mitte,206706,151412,149071,27654,30492,35036,26781,11782,9017,8309
76,Berlin-Pankow,237071,188499,186313,36429,53618,30509,26376,22487,7890,9004
77,Berlin-Reinickendorf,182398,137240,134860,49654,10384,31882,10647,17738,9688,4867
78,Berlin-Spandau –Charlottenburg Nord,184608,133009,130574,40372,9861,41965,8031,17551,8292,4502
79,Berlin-Steglitz-Zehlendorf,221210,180720,178373,63085,13392,43801,22712,14549,16159,4675
80,Berlin-Charlottenburg-Wilmersdorf,198672,158034,156114,47077,14745,43123,21286,11722,14426,3735
81,Berlin-Tempelhof-Schöneberg,235250,181159,178666,51708,19356,39380,33763,16188,11362,6909
82,Berlin-Neukölln,202618,143553,141105,34593,23204,37777,15480,15105,7255,7691
83,Berlin-Friedrichshain-Kreuzberg  – Prenzlauer Berg Ost,223427,173289,171349,20955,42600,29028,45055,10558,5263,17890
84,Berlin-Treptow - Köpenick,205106,157111,155192,29384,61881,21379,7755,23245,5831,5717
85,Berlin-Marzahn - Hellersdorf,200704,138992,136785,30480,46782,17172,4440,28167,4852,4892
86,Berlin-Lichtenberg,205300,149116,147072,28905,51249,20720,8609,23119,5018,9452
