electoral_district_id,electoral_district_name,total,between_18_and_25,between_18_and_25_percentage,between_25_and_35,between_25_and_35_percentage,between_35_and_45,between_35_and_45_percentage,between_45_and_60,between_45_and_60_percentage,between_60_and_70,between_60_and_70_percentage,between_above_70,between_above_70_percentage
76,Berlin-Pankow,232612,17084,7.3,32711,14.1,46526,20,68208,29.3,30926,13.3,37157,16
77,Berlin-Reinickendorf,173228,14448,8.3,21909,12.6,22927,13.2,40363,23.3,28918,16.7,44663,25.8
78,Berlin-Spandau –Charlottenburg Nord,177319,15413,8.7,25256,14.2,25227,14.2,40799,23,29263,16.5,41361,23.3
79,Berlin-Steglitz-Zehlendorf,214043,17091,8,24038,11.2,27705,12.9,52696,24.6,34370,16.1,58143,27.2
80,Berlin-Charlottenburg-Wilmersdorf,194268,15071,7.8,29004,14.9,26496,13.6,43968,22.6,31112,16,48617,25
81,Berlin-Tempelhof-Schöneberg,228750,18821,8.2,34868,15.2,34987,15.3,53718,23.5,36452,15.9,49904,21.8
82,Berlin-Neukölln,193106,16861,8.7,34414,17.8,35400,18.3,41864,21.7,27481,14.2,37086,19.2
83,Berlin-Friedrichshain-Kreuzberg –Prenzlauer Berg Ost,216327,17595,8.1,44034,20.4,50221,23.2,55403,25.6,24347,11.3,24727,11.4
84,Berlin-Treptow-Köpenick,206176,14767,7.2,28240,13.7,37709,18.3,49054,23.8,31109,15.1,45297,22
85,Berlin-Marzahn-Hellersdorf,197233,14300,7.3,22507,11.4,34955,17.7,43673,22.1,40254,20.4,41544,21.1
86,Berlin-Lichtenberg,197100,14195,7.2,28901,14.7,39550,20.1,41456,21,30795,15.6,42203,21.4
,,,,,,,,,,,,,,
