age,2021_total,2021_male,2021_female,2017_total,2017_male,2017_female,comparison_total,comparison_male,comparison_female
18 bis unter 21,2.3,2.3,2.3,2.2,2.3,2.1,0.1,0,0.2
21 bis unter 25,3.7,3.7,3.7,3.4,3.3,3.5,0.3,0.4,0.2
25 bis unter 30,5.6,5.2,5.9,8.1,8.2,7.9,-2.5,-3,-2
30 bis unter 35,9.7,9.6,9.8,10.5,10.7,10.3,-0.8,-1.1,-0.5
35 bis unter 40,10.2,10.9,9.6,9.9,10.7,9.2,0.3,0.2,0.4
40 bis unter 45,9.4,9.5,9.3,7.8,8.3,7.3,1.6,1.2,2
45 bis unter 50,8.2,8.7,7.8,8.4,9.2,7.6,-0.2,-0.5,0.2
50 bis unter 60,19.4,20.5,18.3,18.4,19.1,17.8,1,1.4,0.5
60 bis unter 70,14.1,14.1,14.2,13.7,13.6,13.8,0.4,0.5,0.4
70 und älter,17.3,15.5,19,17.5,14.6,20.3,-0.2,0.9,-1.3
