age,2021_total,2021_male,2021_female,2017_total,2017_male,2017_female,comparison_total,comparison_male,comparison_female
18 bis unter 21,23.2,21.4,25.1,17.0,15.0,19.0,6.2,6.4,6.1
21 bis unter 25,31,25.7,35.8,20.0,17.0,24.0,11.0,8.7,11.8
25 bis unter 30,39.4,33.8,44.8,25.0,22.0,27.0,14.4,11.8,17.8
30 bis unter 35,39.9,37.2,42.7,25.0,23.0,27.0,14.9,14.2,15.7
35 bis unter 40,38.3,36.2,40.5,23.0,21.0,25.0,15.3,15.2,15.5
40 bis unter 45,37.1,34.2,40.0,22.0,22.0,23.0,15.1,12.2,17.0
45 bis unter 50,35.5,33.8,37.1,24.0,23.0,26.0,11.5,10.8,11.1
50 bis unter 60,38.8,36.4,41.3,27.0,25.0,29.0,11.8,11.4,12.3
60 bis unter 70,41.3,39.0,43.4,32.0,31.0,34.0,9.3,8.0,9.4
70 und älter,42.9,43.2,42.7,34.0,34.0,34.0,8.9,9.2,8.7
