address,district_id,district_name,electoral_district_id,electoral_district_type,postal_voting_district_id,berlin_east_west,electoral_district_berlin_election_id,electoral_district_federal_election_id,eligible_voters,voters,invalid_votes,valid_votes,party_spd,party_spd_percentage,party_grüne,party_grüne_percentage,party_cdu,party_cdu_percentage,party_die_linke,party_die_linke_percentage,party_afd,party_afd_percentage,party_fdp,party_fdp_percentage,others,others_percentage
Adresse,Bezirksnummer,Bezirksname,Wahlbezirk,Wahlbezirksart,Briefwahlbezirksnummer,OstWest,Abgeordnetenhauswahlkreis,Bundestagswahlkreis,Wahlberechtigte insgesamt,Wählende,Ungültige Stimmen,Gültige Stimmen,SPD,SPD in Prozent,GRÜNE,GRÜNE in Prozent,CDU,CDU in Prozent,DIE LINKE,DIE LINKE in Prozent,AfD,AfD in Prozent,FDP,FDP in Prozent,Sonstige,Sonstige in Prozent
01B1A,01,Mitte,1A,B,011A,W,01,74,0,684,3,680,111,16.323529411764707,170,25,173,25.441176470588232,55,8.088235294117647,32,4.705882352941177,66,9.705882352941178,73,10.735294117647058
01B1B,01,Mitte,1B,B,011B,W,01,74,0,768,2,766,135,17.62402088772846,200,26.109660574412537,202,26.370757180156655,62,8.093994778067886,35,4.569190600522193,69,9.007832898172325,63,8.224543080939947
01B1C,01,Mitte,1C,B,011C,O,01,74,0,654,1,652,100,15.337423312883436,186,28.52760736196319,178,27.300613496932513,41,6.288343558282208,20,3.067484662576687,74,11.349693251533742,53,8.128834355828221
01B1D,01,Mitte,1D,B,011D,O,01,74,0,632,2,629,79,12.559618441971383,193,30.683624801271858,144,22.89348171701113,49,7.790143084260731,18,2.8616852146263914,81,12.87758346581876,65,10.333863275039745
01B1E,01,Mitte,1E,B,011E,O,01,74,0,610,1,608,96,15.789473684210526,168,27.631578947368425,146,24.013157894736842,72,11.842105263157894,15,2.4671052631578947,62,10.197368421052632,49,8.05921052631579
01B1F,01,Mitte,1F,B,011F,O,01,74,0,601,1,599,79,13.18864774624374,192,32.053422370617696,137,22.871452420701168,89,14.858096828046744,12,2.003338898163606,42,7.0116861435726205,48,8.013355592654424
01B1G,01,Mitte,1G,B,011G,O,01,74,0,627,2,624,84,13.461538461538462,191,30.60897435897436,144,23.076923076923077,86,13.782051282051283,13,2.083333333333333,46,7.371794871794872,60,9.615384615384617
01B1H,01,Mitte,1H,B,011H,O,01,74,0,486,3,483,106,21.94616977225673,112,23.18840579710145,120,24.84472049689441,46,9.523809523809524,30,6.211180124223603,32,6.625258799171843,37,7.6604554865424435
01B1I,01,Mitte,1I,B,011I,O,01,74,0,518,1,517,84,16.247582205029012,174,33.65570599613153,107,20.6963249516441,61,11.798839458413926,17,3.2882011605415857,38,7.35009671179884,36,6.963249516441006
01B1J,01,Mitte,1J,B,011J,O,01,74,0,644,2,642,86,13.395638629283487,216,33.64485981308411,138,21.49532710280374,86,13.395638629283487,11,1.7133956386292832,57,8.878504672897195,48,7.476635514018691
