address,district_id,district_name,electoral_district_id,electoral_district_type,postal_voting_district_id,berlin_east_west,electoral_district_berlin_election_id,electoral_district_federal_election_id,eligible_voters,voters,invalid_votes,valid_votes,party_spd,party_spd_percentage,party_grüne,party_grüne_percentage,party_afd,party_cdu,party_cdu_percentage,party_die_linke,party_die_linke_percentage,party_afd_percentage,party_fdp,party_fdp_percentage,others,others_percentage
Adresse,Bezirksnummer,Bezirksname,Wahlbezirk,Wahlbezirksart,Briefwahlbezirksnummer,OstWest,Abgeordnetenhauswahlkreis,Bundestagswahlkreis,Wahlberechtigte insgesamt,Wählende,Ungültige Stimmen,Gültige Stimmen,SPD,SPD in Prozent,GRÜNE,GRÜNE in Prozent,CDU,CDU in Prozent,DIE LINKE,DIE LINKE in Prozent,AfD,AfD in Prozent,FDP,FDP in Prozent,Sonstige,Sonstige in Prozent
01B1A,01,Mitte,1A,B,011A,W,01,74,0,599,3,596,80,13.422818791946309,177,29.697986577181208,167,28.02013422818792,34,5.704697986577181,30,5.033557046979865,42,7.046979865771812,66,11.073825503355705
01B1B,01,Mitte,1B,B,011B,W,01,74,0,644,2,642,98,15.264797507788161,197,30.68535825545171,177,27.570093457943923,40,6.230529595015576,35,5.451713395638629,43,6.697819314641744,52,8.09968847352025
01B1C,01,Mitte,1C,B,011C,O,01,74,0,676,4,672,105,15.625,222,33.035714285714285,148,22.023809523809522,42,6.25,24,3.571428571428571,90,13.392857142857142,41,6.101190476190476
01B1D,01,Mitte,1D,B,011D,O,01,74,0,936,7,929,143,15.392895586652314,333,35.84499461786868,122,13.132400430570506,66,7.104413347685684,13,1.3993541442411195,187,20.129171151776106,65,6.996770721205597
01B1E,01,Mitte,1E,B,011E,O,01,74,0,843,3,840,166,19.761904761904763,302,35.95238095238095,131,15.595238095238095,64,7.6190476190476195,24,2.857142857142857,111,13.214285714285715,42,5
01B1F,01,Mitte,1F,B,011F,O,01,74,0,509,2,507,55,10.848126232741617,198,39.053254437869825,102,20.118343195266274,64,12.6232741617357,26,5.128205128205128,23,4.536489151873767,39,7.6923076923076925
01B1G,01,Mitte,1G,B,011G,O,01,74,0,531,2,529,61,11.531190926275993,206,38.9413988657845,110,20.793950850661624,64,12.098298676748582,28,5.293005671077505,27,5.103969754253308,33,6.238185255198488
01B1H,01,Mitte,1H,B,011H,O,01,74,0,421,2,419,76,18.138424821002385,122,29.116945107398568,103,24.58233890214797,28,6.682577565632458,27,6.443914081145586,24,5.727923627684964,39,9.307875894988067
01B1I,01,Mitte,1I,B,011I,O,01,74,0,449,1,448,69,15.401785714285715,181,40.401785714285715,83,18.526785714285715,37,8.258928571428571,22,4.910714285714286,27,6.026785714285714,29,6.4732142857142865
