electoral_district_id,electoral_district_name,total,below_6,below_6_percentage,between_6_and_18,between_6_and_18_percentage,between_18_and_65,between_18_and_65_percentage,above_65,above_65_percentage,foreigners,foreigners_percentage
74,Berlin-Mitte,395656,21130,5.3,38651,9.8,284544,71.9,51331,13,147808,37.4
75,Berlin-Pankow,348152,19478,5.6,41703,12,234490,67.4,52481,15.1,64188,18.4
76,Berlin-Reinickendorf,274196,15157,5.5,31858,11.6,165000,60.2,62181,22.7,66152,24.1
77,Berlin-Spandau –Charlottenburg Nord,292952,17154,5.9,35665,12.2,179958,61.4,60175,20.5,79828,27.2
78,Berlin-Steglitz-Zehlendorf,310127,14349,4.6,34169,11,182197,58.7,79412,25.6,55801,18
79,Berlin-Charlottenburg-Wilmersdorf,307675,14446,4.7,27704,9,193263,62.8,72262,23.5,81862,26.6
80,Berlin-Tempelhof-Schöneberg,355948,19281,5.4,36709,10.3,224935,63.2,75023,21.1,82481,23.2
81,Berlin-Neukölln,329319,18317,5.6,35426,10.8,218268,66.3,57308,17.4,93528,28.4
82,Berlin-Friedrichshain-Kreuzberg  –  Prenzlauer Berg Ost,370554,19492,5.3,36611,9.9,272149,73.4,42302,11.4,109434,29.5
83,Berlin-Treptow-Köpenick,295435,17140,5.8,31591,10.7,186749,63.2,59955,20.3,49939,16.9
84,Berlin-Marzahn-Hellersdorf,292901,17784,6.1,36582,12.5,175052,59.8,63483,21.7,56111,19.2
85,Berlin-Lichtenberg,313131,19646,6.3,35477,11.3,199260,63.6,58748,18.8,77825,24.9
