electoral_district_id,electoral_district_name,total,in_sgb_II_communities_of_need,in_sgb_II_communities_of_need_percentage
74,Berlin-Mitte,344325,62194,18.1
75,Berlin-Pankow,295671,22308,7.5
76,Berlin-Reinickendorf,212015,37961,17.9
77,Berlin-Spandau –Charlottenburg Nord,232777,48604,20.9
78,Berlin-Steglitz-Zehlendorf,230715,18226,7.9
79,Berlin-Charlottenburg-Wilmersdorf,235413,21737,9.2
80,Berlin-Tempelhof-Schöneberg,280925,41029,14.6
81,Berlin-Neukölln,272011,57428,21.1
82,Berlin-Friedrichshain-Kreuzberg  –  Prenzlauer Berg Ost,328252,43960,13.4
83,Berlin-Treptow-Köpenick,235480,27623,11.7
84,Berlin-Marzahn-Hellersdorf,229418,37957,16.5
85,Berlin-Lichtenberg,254383,39519,15.5
