address,vote_type,district_id,district_name,electoral_district_id,electoral_district_type,electoral_district_berlin_election_id,electoral_district_federal_election_id,berlin_east_west,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,invalid_votes,valid_votes,vote_yes,vote_no
01W100,,01,Mitte,100,,1,75,W,1269,1037,232,0,572,5,13,559,358,201
01W101,,01,Mitte,101,,1,75,O,1490,975,515,0,757,14,3,754,413,341
01W102,,01,Mitte,102,,1,75,O,1306,813,493,0,603,5,10,593,357,236
01W103,,01,Mitte,103,,1,75,O,1555,980,575,0,772,0,13,759,466,293
01W104,,01,Mitte,104,,1,75,O,1241,768,473,0,611,17,16,595,336,259
01W105,,01,Mitte,105,,1,75,O,1049,689,360,0,509,6,15,494,273,221
01W106,,01,Mitte,106,,1,75,O,1407,826,581,0,662,15,8,654,408,246
01W107,,01,Mitte,107,,1,75,O,1111,763,348,0,612,0,8,604,341,263
01W108,,01,Mitte,108,,1,75,O,1004,628,376,0,483,8,7,476,270,206
01W109,,01,Mitte,109,,1,75,W,1133,900,233,0,536,4,16,520,352,168
01W110,,01,Mitte,110,,1,75,O,1552,999,553,0,841,14,13,828,424,404
01W111,,01,Mitte,111,,1,75,O,1010,665,345,0,549,14,6,543,300,243
01W112,,01,Mitte,112,,1,75,O,1194,790,404,0,599,15,16,583,299,284
01W113,,01,Mitte,113,,1,75,O,1172,785,387,0,673,20,19,654,320,334
01W114,,01,Mitte,114,,1,75,O,1447,952,495,0,740,21,18,722,400,322
01W115,,01,Mitte,115,,1,75,O,866,638,228,0,481,7,6,475,293,182
01W116,,01,Mitte,116,,1,75,O,697,452,245,0,378,9,10,368,214,154
01W117,,01,Mitte,117,,1,75,O,1486,1038,448,0,861,12,22,839,415,424
01W118,,01,Mitte,118,,1,75,O,1148,797,351,0,664,0,20,644,316,328
01W119,,01,Mitte,119,,1,75,O,877,603,274,0,506,12,7,499,211,288
01W120,,01,Mitte,120,,1,75,O,1066,679,387,0,544,17,13,531,262,269
01W121,,01,Mitte,121,,1,75,O,1089,683,406,0,554,0,16,538,286,252
01W122,,01,Mitte,122,,1,75,O,1204,787,417,0,643,25,13,630,313,317
01W123,,01,Mitte,123,,1,75,O,1006,693,313,0,520,14,13,507,261,246
01W200,,01,Mitte,200,,2,75,O,896,642,254,0,448,3,9,439,265,174
01W201,,01,Mitte,201,,2,75,O,1114,748,366,0,532,12,3,529,357,172
01W202,,01,Mitte,202,,2,75,O,1131,695,436,0,470,8,8,462,289,173
01W203,,01,Mitte,203,,2,75,O,1071,634,437,0,392,5,8,384,210,174
01W204,,01,Mitte,204,,2,75,O,1931,1184,747,0,832,12,12,820,514,306
01W205,,01,Mitte,205,,2,75,O,1222,859,363,0,563,5,11,552,297,255
01W206,,01,Mitte,206,,2,75,O,1355,886,469,0,561,6,23,538,298,240
01W207,,01,Mitte,207,,2,75,O,1138,727,411,0,531,5,19,512,263,249
01W208,,01,Mitte,208,,2,75,O,894,545,349,0,432,11,8,424,222,202
01W209,,01,Mitte,209,,2,75,O,1235,854,381,0,640,9,21,619,316,303
01W210,,01,Mitte,210,,2,75,O,1135,764,371,0,585,6,16,569,303,266
01W211,,01,Mitte,211,,2,75,O,880,656,224,0,465,3,13,452,226,226
01W212,,01,Mitte,212,,2,75,O,866,594,272,0,480,14,19,461,266,195
01W213,,01,Mitte,213,,2,75,O,640,446,194,0,295,8,8,287,168,119
01W214,,01,Mitte,214,,2,75,O,830,540,290,0,354,4,8,346,168,178
01W215,,01,Mitte,215,,2,75,O,1016,685,331,0,526,1,5,521,268,253
01W216,,01,Mitte,216,,2,75,O,945,646,299,0,491,3,15,476,237,239
01W217,,01,Mitte,217,,2,75,O,1072,773,299,0,449,3,11,438,224,214
