id,district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,invalid_votes,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_piraten,party_npd,party_fdp,party_tierschutzpartei,party_pro_deutschland,party_die_partei,party_big,party_dkp,party_ödp,party_psg,party_büso,party_b,party_dl,party_alfa,party_tierschutzallianz,party_afd,party_die_einheit,party_die_violetten,party_graue_panther,party_menschliche_welt,party_mieterpartei,party_gesundheitsforschung,voter_turnout,invalid_votes_percentage,valid_votes_percentage
01,01,204769,164007,40762,0,128151,37650,1930,126106,27172,17076,26901,22154,2887,355,8333,1871,292,3687,0,342,0,272,77,0,0,386,0,12480,0,435,988,0,0,398,62.583203512250385,1.506035848335167,98.4042262643288
02,02,170908,134740,36167,1,117022,33740,1274,115605,21087,9053,32778,27016,3629,223,4517,1753,212,4858,0,402,295,199,48,636,0,240,0,7396,0,421,536,0,0,306,68.47075619631615,1.0886841790432569,98.78911657637025
03,03,285240,225444,59796,0,199403,56201,2774,196521,39583,24719,35145,42196,3938,1126,8667,3555,799,4610,0,620,0,287,170,0,0,771,0,27152,0,0,1969,0,0,1214,69.90709577899314,1.3911525904825905,98.55468573692472
04,04,217586,163978,53608,0,152279,50216,1888,150208,34318,30545,27822,13922,2003,223,18454,2363,291,2010,0,98,0,99,93,0,0,658,0,15431,0,0,1072,377,0,429,69.98566084214977,1.239829523440527,98.63999632253955
05,05,162760,132460,30296,4,103431,28471,2109,101145,27740,24835,8779,6726,1398,555,7703,2412,543,1217,0,70,0,62,61,0,0,433,0,16748,0,0,1373,0,0,490,63.54816908331286,2.039040519766801,97.7898309017606
06,06,218473,156731,61742,0,162844,58092,1942,160803,34737,41065,26976,11152,2242,307,19051,2733,328,1766,0,109,0,92,138,0,0,617,0,17677,0,0,1265,0,0,548,74.53735701894513,1.192552381420255,98.74665323868243
07,07,233874,178121,55753,0,161154,52381,2439,158582,39427,31622,29615,15348,2478,456,12465,2783,372,2285,0,179,0,236,106,0,0,621,0,18097,0,0,1581,462,0,449,68.90633417994306,1.5134591756952978,98.4040110701565
08,08,202453,160119,42329,5,128007,39433,2460,125446,29243,22356,20308,17017,2427,924,7209,2609,311,3153,0,246,0,132,74,0,0,430,0,17294,0,0,1239,0,0,474,63.22800847604135,1.9217699032084183,97.99932816174115
09,09,202428,163096,39328,4,137914,36941,2149,135575,27720,17502,12278,30667,2230,1512,5494,2855,742,2906,0,454,0,165,178,0,0,599,0,27736,0,0,1627,0,0,910,68.12990297784891,1.5582174398538218,98.30401554591992
10,10,200519,168718,31801,0,122207,29994,2162,119889,20329,20761,5346,28216,1573,1922,3411,2586,1599,1320,0,359,0,148,141,0,0,754,0,28310,0,0,2092,0,0,1022,60.94534682498916,1.7691294279378433,98.10321830991678
11,11,204711,168610,36101,0,128693,33716,2231,126377,24950,15223,9749,34041,2233,1266,3694,2873,1389,2769,0,527,0,261,136,0,0,591,0,24002,0,0,1595,0,0,1078,62.865698472480716,1.7335830231636529,98.20036831840116
12,12,181658,143889,37768,1,121371,35377,2336,118912,26124,33240,12627,7246,1294,590,10502,2227,410,1343,0,67,0,93,64,0,0,558,0,19169,0,0,2822,0,0,536,66.81291217562672,1.9246772293216665,97.97398060492209
