id,district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,valid_votes,invalid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,party_die_partei,party_tierschutzpartei,party_piraten,party_graue_panther,party_npd,party_gesundheitsforschung,party_lkr,party_dkp,party_sgp,party_büso,party_menschliche_welt,party_b,party_ödp,party_die_basis,party_bildet_berlin,party_dl,party_deutsche_konservative,party_die_grauen,party_neue_demokraten,party_rep,party_du,party_bündnis21,party_die_frauen,party_freie_wähler,party_klimaliste_berlin,party_ld,party_mieterpartei,party_die_humanisten,party_team_todenhöfer,party_volt,voter_turnout,invalid_votes_percentage,valid_votes_percentage
01,01,203886,146306,57580,0,120218,52261,119268,783,19746,24133,32445,18898,6720,6062,1941,2319,458,298,59,185,24,254,82,19,0,165,118,647,96,0,0,298,0,0,340,42,0,164,515,0,294,253,831,1862,58.963342259890325,0.6513167745262772,99.2097689197957
02,02,167015,116524,50491,0,107749,45790,107104,543,15682,14317,35905,22558,3935,3558,2615,2131,442,220,37,139,17,243,87,16,0,209,109,601,82,0,0,195,0,0,442,58,0,124,745,0,338,195,618,1486,64.51456456006946,0.5039489925660563,99.4013865557917
03,03,280603,184120,96483,0,189607,87844,188364,1127,30464,40499,42410,30465,17977,7351,3321,4431,653,729,184,567,47,437,106,50,0,170,262,1626,253,0,0,943,0,0,408,90,0,531,620,0,755,357,406,2252,67.57126616607805,0.5943873380202208,99.34443348610546
04,04,214149,140029,74120,0,142157,67989,141148,856,29232,43134,30419,10834,7439,10324,1508,2397,374,421,44,204,32,96,47,24,0,69,125,718,96,0,16,269,69,0,181,52,0,244,250,0,235,215,512,1568,66.38228523131092,0.6021511427506208,99.29022137495868
05,05,157093,115277,41813,3,89377,37865,88357,853,19002,34531,8935,3989,9712,4045,1050,3038,318,524,78,218,38,43,30,31,0,25,138,410,110,0,0,458,0,0,89,46,0,184,89,0,234,145,427,420,56.894323744533494,0.9543842375555233,98.85876679682693
06,06,214308,132153,82155,0,152466,76340,151478,854,30587,53572,27876,8324,8665,12043,1370,2796,442,475,64,243,38,79,39,22,0,68,176,793,114,0,0,456,0,0,167,67,0,321,256,0,261,234,429,1501,71.14340108628703,0.5601248803011819,99.35198667243844
07,07,228306,149906,78400,0,149122,71800,147896,1067,29421,45975,32098,12567,9264,6780,1619,3013,509,609,75,263,37,135,70,29,163,83,147,697,146,0,0,444,0,0,264,55,0,318,392,0,243,220,853,1407,65.31672404579818,0.715521519292928,99.17785437427074
08,08,193111,136366,56744,1,111691,50986,110675,911,23535,31101,20509,14522,8325,3437,1547,2374,328,375,84,214,45,152,55,21,0,108,88,421,110,0,0,339,0,0,382,47,0,182,398,0,234,165,943,634,57.83772027486782,0.8156431583565372,99.09034747652005
09,09,205670,144797,60873,0,131557,55127,130292,1086,23446,33911,15930,20670,18090,4790,2219,3607,412,679,294,440,89,316,65,60,0,77,185,686,259,0,0,898,0,0,220,99,0,650,327,0,334,268,363,908,63.96508970681188,0.8254976930151949,99.03843961172724
10,10,196840,145585,51255,0,110783,46567,109572,1049,17456,34847,6056,15832,20999,3253,1303,3608,353,763,390,544,32,316,98,52,0,29,75,599,221,0,0,805,0,0,148,85,0,312,110,0,364,215,229,478,56.28073562284088,0.9468961844326296,98.90687199299532
11,11,197377,142243,55134,0,117697,50548,116649,965,18958,29591,13689,21655,16115,3526,2032,3874,528,675,188,510,47,386,91,64,0,96,117,593,193,0,0,660,0,0,253,92,0,569,288,0,421,238,259,941,59.63055472522127,0.8199019516215368,99.10957798414573
12,12,173418,119917,53501,0,107134,48716,106057,945,21488,42617,12692,4805,10630,5247,1045,2685,328,507,94,241,29,60,31,21,0,38,134,551,110,0,0,682,0,44,99,53,0,324,113,0,189,154,456,590,61.77790079461186,0.8820729180278902,98.99471689659678
