id,district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_with_voting_license,valid_votes,invalid_votes,voter_turnout,invalid_votes_percentage,valid_votes_percentage,party_grüne,party_cdu,party_spd,party_die_linke,party_afd,party_die_partei,party_fdp,party_tierschutzpartei,party_mera25,party_volt,party_piraten,party_familie,party_ödp,party_freie_wähler,party_tierschutz_hier,party_big,party_verjüngungsforschung,party_pdh,party_heimat,party_dkp,party_menschliche_welt,party_bündnis_c,party_mlpd,party_sgp,party_abg,party_die_basis,party_bündnis_deutschand,party_bsw,party_dawa,party_klimaliste,party_letzte_generation,party_pdv,party_pdf,party_v_partei3,party_grüne_percentage,party_cdu_percentage,party_spd_percentage,party_die_linke_percentage,party_afd_percentage,party_die_partei_percentage,party_fdp_percentage,party_tierschutzpartei_percentage,party_mera25_percentage,party_volt_percentage,party_piraten_percentage,party_familie_percentage,party_ödp_percentage,party_freie_wähler_percentage,party_tierschutz_hier_percentage,party_big_percentage,party_verjüngungsforschung_percentage,party_pdh_percentage,party_heimat_percentage,party_dkp_percentage,party_menschliche_welt_percentage,party_bündnis_c_percentage,party_mlpd_percentage,party_sgp_percentage,party_abg_percentage,party_die_basis_percentage,party_bündnis_deutschand_percentage,party_bsw_percentage,party_dawa_percentage,party_klimaliste_percentage,party_letzte_generation_percentage,party_pdv_percentage,party_pdf_percentage,party_v_partei3_percentage
01,01,211498,149728,61770,0,128694,57100,128139,555,60.848802352740925,0.4312555363886428,99.56874446361135,33511,14863,15298,12831,8601,4786,5947,2127,3698,9134,761,260,434,456,448,269,81,397,62,194,135,80,65,54,28,210,299,9249,1475,271,1353,84,514,164,26.15206923731261,11.599122827554451,11.938597928811681,10.013344883290802,6.712242174513613,3.735006516361139,4.641053855578708,1.6599161847681034,2.885928561952255,7.128196723870173,0.5938863265672434,0.20290465822271128,0.33869469872560265,0.3558635544213705,0.349620334168364,0.2099282810073436,0.06321260506169082,0.3098198050554476,0.04838495696080038,0.15139809113540764,0.10535434176948469,0.06243220253006501,0.05072616455567782,0.04214173670779388,0.02185127088552275,0.16388453164142064,0.233340356956118,7.21794301500714,1.1510937341480736,0.21148908607059522,1.0558846252897245,0.06555381265656826,0.4011269012556677,0.12798601518663327
02,02,173099,117087,56012,0,115606,51838,115275,331,66.78605884493845,0.2863173191702853,99.71368268082972,36773,7841,11800,14947,4902,6554,3450,2162,3458,8365,684,192,362,293,377,194,61,255,30,140,105,44,62,39,22,177,216,7975,1263,334,1512,54,460,172,31.9002385599653,6.801995228800695,10.236391238343092,12.96638473216222,4.252439817826936,5.685534591194968,2.992843201040989,1.875515072652353,2.9997831273042723,7.2565603990457594,0.5933636955107352,0.16655823031880285,0.31403166341357625,0.25417479939275645,0.3270440251572327,0.1682932118846237,0.05291693775753632,0.22121014964216007,0.026024723487312947,0.12144870960746042,0.09108653220559532,0.038169594448058994,0.05378442854044675,0.03383214053350683,0.019084797224029497,0.15354586857514638,0.1873780091086532,6.918238993710692,1.095640858815875,0.28974192149208416,1.3116460637605725,0.0468445022771633,0.39904576013879856,0.14920841466059423
03,03,290740,190862,99878,0,197748,93537,196993,755,68.01540895645594,0.38179905738616826,99.61820094261384,46579,24299,22423,17290,21941,8583,6968,4091,2113,11499,1011,849,804,956,872,105,116,462,125,231,279,140,86,46,90,428,605,20479,185,370,1531,147,1011,279,23.645002614306094,12.334956064428686,11.382637961754986,8.77696161792551,11.137959216824964,4.35700760940744,3.5371815242165967,2.0767235383998415,1.0726269461351419,5.837263253008991,0.5132162056519775,0.430979781007447,0.4081363297172996,0.48529643185290844,0.4426553227779667,0.05330138634367719,0.05888534110349099,0.23452609991217963,0.06345403136152046,0.11726304995608981,0.14162939799891366,0.0710685151249029,0.043656373576726075,0.02335108354103953,0.04568690258029473,0.21726660338184603,0.30711751178975905,10.39580086602062,0.09391196641505029,0.18782393283010057,0.7771849761159026,0.07462194088114807,0.5132162056519775,0.14162939799891366
04,04,219636,147102,72534,0,144814,67423,144238,576,65.93363565171465,0.39775159860234505,99.60224840139766,33969,30378,23488,6529,10282,3639,10278,2255,1642,7609,559,368,459,635,519,152,60,316,34,66,154,103,46,19,48,219,407,7636,574,217,771,66,567,174,23.55065932694574,21.061024140656414,16.28419695225946,4.526546402473689,7.128495958069301,2.5229135179356343,7.1257227637654434,1.5633882888004547,1.1383962617340784,5.275308864515592,0.38755390396428124,0.2551338759550188,0.31822404636780877,0.4402445957376004,0.35982196092569224,0.10538138354663819,0.041597914557883496,0.2190823500048531,0.023572151582800648,0.04575770601367185,0.10676798069856763,0.07140975332436666,0.03189173449437735,0.013172672943329774,0.0332783316463068,0.15183238813627478,0.28217252041764307,5.29402792606664,0.3979533826037522,0.15044579098434532,0.534533202068803,0.04575770601367185,0.3931002925719991,0.12063395221786213
05,05,160085,123052,37033,0,87459,33663,86706,753,54.632851297748076,0.8609748567900387,99.13902514320996,10244,23026,14142,2785,13331,2099,3867,2352,754,2284,457,586,387,491,739,196,66,199,80,29,163,118,32,25,64,175,338,5720,818,83,275,69,550,162,11.814637971997325,26.556409014370402,16.310289945332503,3.2120037828985306,15.37494521717067,2.420824395082232,4.459898968929486,2.7126150439415957,0.8696053329642701,2.6341890987936245,0.5270684843032778,0.6758471155398704,0.44633589370977783,0.5662814568772634,0.8523054921228058,0.22605125366179962,0.07611929970244274,0.22951122183009248,0.09226581782114271,0.03344635896016423,0.18799160381057828,0.1360920812861855,0.03690632712845709,0.0288330680691071,0.07381265425691418,0.2018314764837497,0.38982308029432794,6.597005974211704,0.9434179872211842,0.09572578598943557,0.31716374876017805,0.07957926787073559,0.6343274975203561,0.18683828108781397
06,06,219696,142451,77245,0,153331,72257,152716,615,69.79234942830092,0.4010930601117843,99.59890693988822,32352,39081,24533,5091,11871,3281,11488,2542,1022,7013,662,525,626,830,624,125,86,314,61,49,191,105,24,24,45,296,470,7127,444,202,575,60,780,197,21.18442075486524,25.590638832866237,16.06445951963121,3.3336389114434635,7.7732523114801335,2.1484323842950315,7.522459991094581,1.6645276198957542,0.6692160611854685,4.59218418502318,0.4334843762277692,0.34377537389664475,0.4099112077319993,0.5434924958746955,0.40860158726001206,0.08185127949920114,0.05631368029545038,0.20561041410199324,0.039943424395610154,0.03208570156368684,0.12506875507477933,0.06875507477932895,0.015715445663846618,0.015715445663846618,0.029466460619712406,0.1938238298541083,0.30776081091699625,4.6668325519264515,0.29073574478116243,0.13227166767070903,0.3765158856963252,0.03928861415961654,0.5107519840750151,0.12899761649074099
07,07,234714,160370,74344,0,151196,69586,150447,749,64.41712041037178,0.49538347575332675,99.50461652424667,34774,30749,22985,8548,12740,4116,6863,2809,2260,7295,740,526,594,705,768,196,77,345,61,89,216,141,54,53,65,265,488,8572,1227,263,850,84,729,200,23.113787579679222,20.438426821405546,15.277805473023722,5.681735096080347,8.46809840010103,2.735847175417257,4.561739350070124,1.8671027006188228,1.5021901400493196,4.848883660026455,0.4918675679807507,0.349624784807939,0.394823426189954,0.4686035613870665,0.510478773255698,0.13027843692463129,0.051180814506105135,0.2293166364234581,0.0405458400632781,0.05915704533822542,0.14357215497816506,0.09372071227741331,0.035893038744541264,0.035228352841864576,0.04320458367398486,0.17614176420932287,0.3243667205062248,5.697687557744588,0.8155696025842988,0.1748123924039695,0.5649830172751866,0.05583361582484197,0.48455602305130707,0.13293718053533804
08,08,198514,144274,54240,0,111138,49297,110383,755,55.98496831457731,0.6793356007846101,99.32066439921539,21364,20628,14762,11038,11134,3859,3270,2136,3643,4322,590,470,318,429,592,297,68,202,58,113,155,97,65,34,67,190,287,6393,1880,200,998,72,515,137,19.3544295770182,18.687660237536576,13.373436126939836,9.999728219019232,10.086698132864662,3.4960093492657385,2.962412690359929,1.9350805830607973,3.3003270431135228,3.9154579962494225,0.5345025955083663,0.42579020320157995,0.2880878396129839,0.38864680249676126,0.5363144687134794,0.26906317095929627,0.06160368897384561,0.18299919371642373,0.052544322948280084,0.1023708360888905,0.14042017339626572,0.08787585044798565,0.05888587916617595,0.030801844486922806,0.06069775237128905,0.17212795448574508,0.26000380493373076,5.791652700144044,1.7031608128063198,0.18118732051131062,0.90412472935144,0.06522743538407182,0.4665573503166248,0.12411331455024777
09,09,210031,152215,57816,0,131996,53115,131134,862,62.84596083435302,0.6530500924270433,99.34694990757296,17158,18985,15085,10997,22656,5128,3907,3429,896,5355,735,987,627,877,864,96,91,389,204,168,240,98,72,39,106,274,700,18331,190,264,774,124,1080,208,13.084325956655023,14.47755730779203,11.503500236399407,8.386078362590938,17.27698384858237,3.9105037595131695,2.979395122546403,2.614882486616743,0.6832705476840484,4.083609132642945,0.5604953711470709,0.7526652126832095,0.478136867631583,0.6687815516952125,0.6588680281239038,0.07320755868043376,0.06939466499916117,0.2966431284030076,0.15556606219592173,0.12811322769075909,0.1830188967010844,0.0747327161529428,0.05490566901032532,0.02974057071392621,0.08083334604297894,0.20894657373373798,0.5338051153781628,13.978830814281576,0.14488995988835845,0.20132078637119283,0.5902359418609971,0.09455976329556028,0.8235850351548798,0.1586163771409398
10,10,200704,154193,46511,0,109644,42732,108790,854,54.62970344387755,0.7788843894786764,99.22111561052132,6918,17840,11259,7609,27522,2878,2801,2761,335,2794,513,1137,323,813,880,80,120,276,197,142,214,88,67,40,121,225,565,18628,94,114,284,149,848,155,6.359040352973619,16.398566044673224,10.3492968103686,6.994209026564942,25.298281092012132,2.645463737475871,2.574685173269602,2.537917087967644,0.3079327144038974,2.568250758341759,0.47155069399761007,1.0451328247081533,0.29690228881331004,0.7473113337622943,0.8088978766430739,0.0735361706039158,0.1103042559058737,0.2536997885835095,0.18108282011214266,0.13052670282195056,0.19670925636547476,0.08088978766430738,0.061586542880779485,0.0367680853019579,0.11122345803842265,0.20682047982351318,0.5193492048901553,17.122897325121794,0.08640500045960106,0.10478904311058003,0.2610534056439011,0.1369611177497932,0.7794834084015075,0.14247633054508688
