id,district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,invalid_votes,valid_votes,party_cdu,party_spd,party_die_linke,party_grüne,party_afd,party_piraten,party_fdp,party_die_partei,party_freie_wähler,party_ödp,party_büso,party_mlpd,party_sgp,party_b,party_bge,party_dib,party_dkp,party_dm,party_die_grauen,party_du,party_menschliche_welt,party_gesundheitsforschung,party_tierschutzpartei,party_v_partei3,party_die_frauen,individual_applicant_für_dich_im_bundestag,individual_applicant_grog,individual_applicant_grundeinkommen_für_alle.org_1,individual_applicant_grundeinkommen_für_alle.org_2,individual_applicant_ideengeber_mensch_natur_technik,individual_applicant_liberal_nachhaltig_sozial_weltoffen,individual_applicant_den_menschen_verpflichtet_keiner_partei,party_mieterpartei,party_npd,individual_applicant,individual_applicant_parteifrei_für_die_menschen,individual_applicant_parteifrei_und_bürgerbestimmt,voter_turnout,invalid_votes_percentage,valid_votes_percentage
01,01,206706,150774,55932,0,151412,52012,2341,149071,27654,35036,30492,26781,11782,0,9017,5342,648,715,203,360,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766,0,0,0,0,0,0,0,0,0,73.24992985206042,1.5461125934536233,98.45388740654639
02,02,172386,123221,49164,1,133173,45533,1435,131738,14850,21845,32212,37479,6950,0,3865,10168,460,0,0,245,0,583,0,0,0,0,0,621,0,0,0,0,0,0,124,0,1023,544,116,291,0,0,28,334,0,77.25279315025581,1.0775457487628874,98.92245425123711
03,03,288112,206552,81560,0,228615,76361,2691,225924,42534,37692,64006,33952,26095,0,9288,7987,1506,950,451,60,0,89,0,0,0,0,0,151,0,0,0,0,0,454,44,0,275,144,32,100,0,0,5,109,0,79.34935025267951,1.177088117577587,98.82291188242242
04,04,220328,150226,70102,0,173125,65376,2214,170911,50826,47579,16233,22837,13565,0,15476,3781,0,122,443,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.57603209759995,1.2788447653429604,98.72115523465705
05,05,162952,124566,38380,6,117918,36109,2141,115777,36623,37509,8373,6480,15708,0,7242,2735,0,876,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.36364082674652,1.815668515409013,98.184331484591
06,06,221210,143335,77874,1,180720,73401,2347,178373,63085,43801,13392,22712,14549,0,16159,3681,0,0,555,0,0,0,0,0,0,0,0,0,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,81.6961258532616,1.2986941124391325,98.70130588756086
07,07,235250,163048,72202,0,181159,67788,2493,178666,51708,39380,19356,33763,16188,1691,11362,3852,0,0,403,0,197,0,0,0,0,0,0,0,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.00701381509033,1.376139192642927,98.62386080735708
08,08,202618,149423,53193,2,143553,48862,2448,141105,34593,37777,23204,15480,15105,0,7255,5048,0,0,260,294,0,0,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,636,262,0,0,0,70.84908547118222,1.7052935152870368,98.29470648471298
09,09,205106,152759,52346,1,157111,48331,1919,155192,29384,21379,61881,7755,23245,0,5831,3521,1096,0,318,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0,0,0,76.5999044396556,1.2214294352400532,98.77857056475995
10,10,200704,159557,41147,0,138992,38208,2207,136785,30480,17172,46782,4440,28167,0,4852,0,2010,0,0,0,0,0,0,0,0,0,1470,0,0,0,0,0,0,0,0,0,0,0,0,0,716,696,0,0,0,69.25223214285714,1.5878611718660067,98.41213882813399
11,11,205300,158280,47020,0,149116,43820,2044,147072,28905,20720,51249,8609,23119,1314,5018,4392,0,0,0,282,0,0,0,0,0,0,0,0,0,1537,0,0,0,0,0,0,0,0,0,0,0,533,0,0,1394,72.63321967851924,1.3707449234153277,98.62925507658467
12,12,182398,135152,47240,6,137240,44154,2380,134860,49654,31882,10384,10647,17738,0,9688,2828,0,0,400,0,0,0,0,0,0,0,1639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.24205309268743,1.7341882832993296,98.26581171670067
