id,district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,invalid_votes,valid_votes,party_cdu,party_spd,party_die_linke,party_grüne,party_afd,party_piraten,party_fdp,party_die_partei,party_freie_wähler,party_ödp,party_büso,party_mlpd,party_sgp,party_b,party_bge,party_dib,party_dkp,party_dm,party_die_grauen,party_du,party_menschliche_welt,party_gesundheitsforschung,party_tierschutzpartei,party_v_partei3,party_die_frauen,individual_applicant_für_dich_im_bundestag,individual_applicant_grog,individual_applicant_grundeinkommen_für_alle.org_1,individual_applicant_grundeinkommen_für_alle.org_2,individual_applicant_ideengeber_mensch_natur_technik,individual_applicant_liberal_nachhaltig_sozial_weltoffen,individual_applicant_den_menschen_verpflichtet_keiner_partei,party_mieterpartei,party_npd,individual_applicant,individual_applicant_parteifrei_für_die_menschen,individual_applicant_parteifrei_und_bürgerbestimmt,voter_turnout,invalid_votes_percentage,valid_votes_percentage,party_cdu_percentage,party_spd_percentage,party_die_linke_percentage,party_grüne_percentage,party_afd_percentage,party_piraten_percentage,party_fdp_percentage,party_die_partei_percentage,party_freie_wähler_percentage,party_ödp_percentage,party_büso_percentage,party_mlpd_percentage,party_sgp_percentage,party_b_percentage,party_bge_percentage,party_dib_percentage,party_dkp_percentage,party_dm_percentage,party_die_grauen_percentage,party_du_percentage,party_menschliche_welt_percentage,party_gesundheitsforschung_percentage,party_tierschutzpartei_percentage,party_v_partei3_percentage,party_die_frauen_percentage,individual_applicant_für_dich_im_bundestag_percentage,individual_applicant_grog_percentage,individual_applicant_grundeinkommen_für_alle.org_1_percentage,individual_applicant_grundeinkommen_für_alle.org_2_percentage,individual_applicant_ideengeber_mensch_natur_technik_percentage,individual_applicant_liberal_nachhaltig_sozial_weltoffen_percentage,individual_applicant_den_menschen_verpflichtet_keiner_partei_percentage,party_mieterpartei_percentage,party_npd_percentage,individual_applicant_percentage,individual_applicant_parteifrei_für_die_menschen_percentage,individual_applicant_parteifrei_und_bürgerbestimmt_percentage
01,01,206706,150774,55932,0,151412,52012,1969,149443,27861,26788,32118,25708,12289,1229,12972,3811,336,272,77,172,66,100,836,919,167,372,492,294,254,260,1777,273,0,0,0,0,0,0,0,0,0,0,0,0,0,73.24992985206042,1.3004253295643675,98.69957467043562,18.643228521911364,17.925229017083435,21.491806240506413,17.20254545211218,8.223202157344272,0.822387130879332,8.680232597043688,2.550136172319881,0.22483488687994754,0.1820091941409099,0.05152466157665465,0.11509404923616363,0.04416399563713255,0.06691514490474629,0.559410611403679,0.6149501816746185,0.11174829199092631,0.2489243390456562,0.32922251293135174,0.1967305260199541,0.1699644680580556,0.17397937675234038,1.1890821249573416,0.18267834558995738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02,02,172386,123221,49164,1,133173,45533,1176,131997,17154,21042,38516,28368,7170,1083,7461,4929,240,207,38,147,30,271,844,1041,171,254,319,371,267,211,1607,256,0,0,0,0,0,0,0,0,0,0,0,0,0,77.25279315025581,0.8830618819130004,99.11693811808699,12.995749903406894,15.941271392531647,29.179451048129884,21.491397531762086,5.43194163503716,0.8204731925725585,5.652401190936158,3.734175776722198,0.18182231414350325,0.15682174594877157,0.02878853307272135,0.11136616741289575,0.022727789267937906,0.2053076963870391,0.6394084714046532,0.7886542875974454,0.12954839882724606,0.1924286158018743,0.24167215921573976,0.28106699394683216,0.20227732448464736,0.1598521178511633,1.2174519117858738,0.19394380175307013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03,03,288112,206552,81560,0,228615,76361,2216,226399,43727,35534,54274,33360,27008,1057,15007,5726,775,503,141,175,56,130,1054,1245,307,467,1091,411,380,630,2989,352,0,0,0,0,0,0,0,0,0,0,0,0,0,79.34935025267951,0.9693152242853706,99.03068477571463,19.314131246162745,15.69529900750445,23.97272072756505,14.735047416287175,11.929381313521702,0.46687485368751624,6.628562847009041,2.5291631146780684,0.34231599962897363,0.22217412621080482,0.062279427029271334,0.07729716120654243,0.024735091586093577,0.05742074832486009,0.46554975949540417,0.5499140897265448,0.1356013056594773,0.20627299590545894,0.4818925878647874,0.18153790431936537,0.16784526433420643,0.27826978034355276,1.3202355134077448,0.15547771854115963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04,04,220328,150226,70102,0,173125,65376,1626,171499,43447,33585,20239,26589,14299,808,24752,2444,248,253,117,102,23,37,507,487,49,303,543,233,234,231,1716,253,0,0,0,0,0,0,0,0,0,0,0,0,0,78.57603209759995,0.9392057761732853,99.06079422382672,25.333675415016998,19.583204566790478,11.801234992623865,15.503880489099062,8.33765794552738,0.47113977340975755,14.43273721712663,1.425081195808722,0.1446072571851731,0.14752272608003547,0.06822197213977924,0.059475565455192156,0.013411156916366861,0.02157446982198147,0.29562854593904336,0.2839666703595939,0.028571595169651135,0.17667741502865905,0.3166199219820524,0.13586085050058602,0.13644394427955847,0.13469466294264107,1.000588924716762,0.14752272608003547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05,05,162952,124566,38380,6,117918,36109,2023,115895,33350,26499,10908,9244,16556,747,11455,1913,332,355,50,124,30,15,316,265,27,292,718,142,197,263,1921,176,0,0,0,0,0,0,0,0,0,0,0,0,0,72.36364082674652,1.7155989755592869,98.28440102444071,28.776047284179647,22.864661978515034,9.411967729410243,7.97618534017861,14.285344492859917,0.6445489451658829,9.8839466758704,1.65063203762026,0.2864661978515035,0.3063117477026619,0.04314249967643125,0.10699339919754952,0.025885499805858754,0.012942749902929377,0.2726605979550455,0.22865524828508563,0.023296949825272875,0.2519521981103585,0.6195262953535527,0.12252469908106477,0.16998144872513915,0.2269295482980284,1.6575348375684886,0.151861598861038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06,06,221210,143335,77874,1,180720,73401,1763,178957,53281,34279,16352,25361,15824,651,25461,2143,332,289,120,58,19,35,456,496,55,296,609,212,240,274,1846,268,0,0,0,0,0,0,0,0,0,0,0,0,0,81.6961258532616,0.9755422753430723,99.02445772465693,29.773073978665266,19.154880781416765,9.137390546332359,14.171560765994066,8.842347603055483,0.3637745380175126,14.227440111311656,1.1974943701559593,0.18551942645439967,0.16149130796783584,0.06705521438110831,0.032410020284202354,0.010617075610342148,0.019557770861156593,0.25480981464821156,0.2771615527752477,0.030733639924674643,0.16540286214006716,0.3403052129841247,0.11846421207329136,0.13411042876221663,0.1531094061701973,1.0315327145627162,0.1497566454511419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07,07,235250,163048,72202,0,181159,67788,2078,179081,44721,36179,23625,27956,17108,1179,18569,2912,373,274,127,113,60,55,601,635,94,360,793,294,374,250,2180,249,0,0,0,0,0,0,0,0,0,0,0,0,0,77.00701381509033,1.147058661176094,98.85294133882391,24.972498478342203,20.20258988949135,13.192354297775866,15.610812984068662,9.553218934448656,0.658361300193767,10.36905087641905,1.6260798186295586,0.20828563610879994,0.15300338952764392,0.07091762945259408,0.06309993801687505,0.033504391867367284,0.030712359211753342,0.3356023252047956,0.3545881472629704,0.052490213925542074,0.20102635120420367,0.4428163791803709,0.1641715201500997,0.2088440426399227,0.139601632780697,1.217326237847678,0.13904322624957421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08,08,202618,149423,53193,2,143553,48862,2140,141413,31592,27520,25752,18446,15904,964,10891,3490,220,208,111,196,30,83,676,724,99,366,919,335,270,248,2171,198,0,0,0,0,0,0,0,0,0,0,0,0,0,70.84908547118222,1.490738612219877,98.50926138778013,22.340237460488073,19.4607285044515,18.21048984181087,13.044062427075303,11.246490775246972,0.6816912165076761,7.701555019694087,2.4679484912985368,0.1555726842652373,0.14708690148713344,0.07849349069746063,0.13860111870902958,0.02121445694525963,0.05869333088188497,0.47803242983318367,0.5119755609455992,0.07000770791935677,0.25881637473216745,0.6498695310897866,0.23689476922206584,0.19093011250733666,0.17537284408081294,1.5352195342719552,0.14001541583871355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09,09,205106,152759,52346,1,157111,48331,1923,155188,31372,24109,39000,12168,26278,843,10067,3873,777,260,146,160,48,61,511,524,193,511,852,204,263,452,2283,233,0,0,0,0,0,0,0,0,0,0,0,0,0,76.5999044396556,1.2239754059232009,98.7760245940768,20.215480578395237,15.535350671443668,25.130809083176537,7.840812433951079,16.93301028430033,0.543212104028662,6.486970642059953,2.4956826558754543,0.5006830425032863,0.16753872722117688,0.09407943913189164,0.10310075521303194,0.03093022656390958,0.03930716292496843,0.3292780369616207,0.33765497332267963,0.12436528597571977,0.3292780369616207,0.549011521509395,0.13145346289661572,0.16947186638142123,0.2912596334768152,1.4711189009459493,0.15014047477897777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,200704,159557,41147,0,138992,38208,2053,136939,28620,19797,35698,5621,29618,693,7290,2216,899,160,95,106,43,20,320,328,197,336,1398,156,227,577,2378,146,0,0,0,0,0,0,0,0,0,0,0,0,0,69.25223214285714,1.4770634281109705,98.52293657188903,20.899816706708826,14.456801933707709,26.068541467368682,4.104747369266608,21.628608358466177,0.5060647441561571,5.323538217746588,1.6182387778499916,0.6564966883064722,0.11684034497111853,0.06937395482660162,0.07740672854336603,0.03140084271098811,0.014605043121389816,0.23368068994223706,0.239522707190793,0.14385967474568967,0.24536472443934892,1.0208925141851481,0.11391933634684057,0.1657672394277744,0.4213554940520962,1.736539627133249,0.10661681478614565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
