id,district_id,electoral_district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,invalid_votes,valid_votes,party_cdu,party_spd,party_die_linke,party_grüne,party_afd,party_piraten,party_fdp,party_die_partei,party_freie_wähler,party_ödp,party_büso,party_mlpd,party_sgp,party_b,party_bge,party_dib,party_dkp,party_dm,party_die_grauen,party_du,party_menschliche_welt,party_gesundheitsforschung,party_tierschutzpartei,party_v_partei3,party_die_frauen,individual_applicant_für_dich_im_bundestag,individual_applicant_grog,individual_applicant_grundeinkommen_für_alle.org_1,individual_applicant_grundeinkommen_für_alle.org_2,individual_applicant_ideengeber_mensch_natur_technik,individual_applicant_liberal_nachhaltig_sozial_weltoffen,individual_applicant_den_menschen_verpflichtet_keiner_partei,party_mieterpartei,party_npd,individual_applicant,individual_applicant_parteifrei_für_die_menschen,individual_applicant_parteifrei_und_bürgerbestimmt,voter_turnout,invalid_votes_percentage,valid_votes_percentage
01100,01,100,1307,1041,266,0,577,5,14,563,110,132,107,73,62,14,32,11,1,2,0,0,0,0,0,2,1,4,2,1,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,44.146901300688604,2.4263431542461005,97.5736568457539
01101,01,101,1531,983,548,0,768,14,6,762,179,117,146,137,50,3,99,8,2,1,0,0,0,0,4,4,1,2,1,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50.163291966035274,0.78125,99.21875
01102,01,102,1319,816,503,0,612,5,2,610,149,89,76,119,49,2,96,9,1,0,0,0,0,0,2,1,0,1,2,6,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.39878695981805,0.32679738562091504,99.67320261437908
01103,01,103,1598,994,604,0,786,0,4,782,169,110,149,140,42,4,127,18,0,2,0,0,0,1,2,7,0,2,0,1,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,49.18648310387985,0.5089058524173028,99.49109414758269
01104,01,104,1274,776,498,0,616,17,4,612,135,94,99,137,38,2,80,10,1,0,0,0,0,0,2,4,1,2,0,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,48.35164835164835,0.6493506493506493,99.35064935064936
01105,01,105,1078,693,385,0,523,6,6,517,94,75,128,105,36,1,56,10,0,4,0,0,0,0,0,5,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48.51576994434137,1.147227533460803,98.8527724665392
01106,01,106,1436,832,604,0,672,15,2,670,141,101,93,146,54,5,109,11,0,0,0,0,0,0,3,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.796657381615596,0.2976190476190476,99.70238095238095
01107,01,107,1127,764,363,0,615,0,6,609,121,95,123,128,41,0,73,6,0,1,0,1,0,0,1,4,1,7,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.56965394853594,0.975609756097561,99.02439024390245
01108,01,108,1017,629,388,0,486,8,4,482,138,60,94,60,30,1,81,4,1,0,0,0,0,0,2,3,0,0,3,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47.78761061946903,0.823045267489712,99.1769547325103
01109,01,109,1136,902,234,0,540,4,11,529,131,128,77,38,69,6,44,6,2,2,1,1,1,0,2,2,0,1,1,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.53521126760563,2.037037037037037,97.96296296296296
01110,01,110,1583,1006,577,0,855,14,4,851,165,148,158,204,35,3,95,19,0,1,0,1,0,1,4,5,0,1,3,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,54.011370814908396,0.46783625730994155,99.53216374269006
01111,01,111,1030,669,361,0,559,14,2,557,102,83,103,145,25,2,71,11,0,3,0,1,0,1,1,1,1,0,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54.271844660194176,0.35778175313059035,99.6422182468694
01112,01,112,1215,796,419,0,607,15,5,602,103,71,143,153,37,5,64,12,1,1,0,0,0,1,2,3,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.958847736625515,0.8237232289950577,99.17627677100495
01113,01,113,1191,790,401,0,677,20,5,672,96,116,137,179,35,1,67,13,0,1,0,0,0,1,4,7,0,2,1,3,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,56.84298908480269,0.7385524372230428,99.26144756277697
01114,01,114,1471,956,515,0,746,21,3,743,131,123,144,182,37,2,78,19,0,2,0,1,1,0,6,7,0,4,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50.713800135961925,0.40214477211796246,99.59785522788204
01115,01,115,888,644,244,0,485,7,3,482,100,73,98,77,56,1,38,12,3,0,0,2,0,0,0,3,0,1,2,2,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.61711711711712,0.6185567010309279,99.38144329896907
01116,01,116,710,456,254,0,381,9,2,379,80,53,66,93,29,2,38,8,1,0,1,0,0,0,1,1,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.66197183098591,0.5249343832020997,99.47506561679789
01117,01,117,1519,1043,476,0,865,12,4,861,190,130,146,232,36,5,72,12,1,2,1,1,0,0,6,15,2,1,1,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.94535878867676,0.46242774566473993,99.53757225433526
01118,01,118,1172,801,371,0,669,0,7,662,116,85,147,188,25,4,62,7,0,3,0,0,0,1,5,5,1,1,1,1,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.081911262798634,1.046337817638266,98.95366218236174
01119,01,119,896,603,293,0,509,12,3,506,87,67,101,156,19,2,45,12,1,1,0,0,0,0,6,5,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.80803571428571,0.5893909626719057,99.41060903732809
01120,01,120,1091,680,411,0,544,17,4,540,85,62,110,148,46,3,59,8,1,1,0,0,0,0,6,3,2,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49.86251145737855,0.7352941176470588,99.26470588235294
01121,01,121,1124,691,433,0,562,0,3,559,103,88,106,135,33,0,65,7,1,3,0,0,0,0,1,6,0,1,2,0,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0.5338078291814947,99.4661921708185
01122,01,122,1234,788,446,0,643,25,3,640,118,80,135,180,23,2,72,8,0,1,0,0,0,3,3,6,0,0,0,0,1,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,52.10696920583469,0.46656298600311047,99.53343701399689
01123,01,123,1035,699,336,0,524,14,0,524,105,59,80,152,26,2,69,8,2,2,0,0,0,1,4,6,0,0,0,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,50.6280193236715,0.0,100.0
011A,01,1A,0,0,0,0,2258,2258,5,2253,629,322,271,404,106,12,399,40,5,5,0,0,1,1,9,9,1,3,7,4,4,5,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,inf,0.22143489813994688,99.77856510186005
011B,01,1B,0,0,0,0,1595,1595,10,1585,419,208,255,247,100,3,291,19,2,2,0,1,0,0,9,3,2,1,5,2,3,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,inf,0.6269592476489028,99.37304075235109
011C,01,1C,0,0,0,0,1437,1437,5,1432,392,194,225,312,68,6,178,14,3,3,2,1,0,2,5,7,1,0,1,4,1,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,inf,0.3479471120389701,99.65205288796103
011D,01,1D,0,0,0,0,1704,1704,7,1697,396,208,293,399,73,3,225,31,4,2,0,0,0,1,11,21,1,3,2,1,4,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,inf,0.41079812206572774,99.58920187793427
011E,01,1E,0,0,0,0,2052,2052,7,2045,484,274,297,498,76,6,332,29,4,2,0,3,0,0,6,9,1,0,1,0,1,5,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,inf,0.341130604288499,99.6588693957115
01200,01,200,902,643,259,0,454,3,6,448,95,60,110,33,66,4,59,6,1,0,0,0,0,0,1,3,0,1,1,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.332594235033255,1.3215859030837005,98.6784140969163
01201,01,201,1142,752,390,0,547,12,5,542,129,87,111,46,74,6,69,7,0,0,0,0,0,0,2,0,1,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.8984238178634,0.9140767824497258,99.08592321755027
01202,01,202,1159,697,462,0,474,8,7,467,104,64,100,39,72,1,61,7,2,3,0,0,0,0,1,2,0,6,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.89732528041415,1.4767932489451476,98.52320675105484
01203,01,203,1081,636,445,0,397,5,4,393,77,72,123,33,46,0,22,4,1,0,0,0,1,0,3,1,1,0,1,1,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36.725254394079556,1.0075566750629723,98.99244332493703
01204,01,204,1971,1193,778,0,849,12,4,845,201,137,154,75,98,4,137,13,0,1,0,1,0,0,1,4,2,3,5,1,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43.07458143074581,0.47114252061248524,99.52885747938751
01205,01,205,1244,862,382,0,568,5,9,559,108,99,150,48,74,3,42,10,1,1,0,0,1,0,3,2,1,0,5,2,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45.659163987138264,1.584507042253521,98.41549295774648
01206,01,206,1365,889,476,0,572,6,2,570,108,75,167,56,76,6,49,11,2,0,1,0,1,1,1,0,2,5,1,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,41.904761904761905,0.34965034965034963,99.65034965034964
01207,01,207,1149,730,419,0,535,5,6,529,89,89,180,44,62,0,31,10,2,2,1,0,0,0,1,3,3,0,2,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.56222802436902,1.1214953271028036,98.8785046728972
01208,01,208,915,548,367,0,436,11,4,432,93,64,66,124,17,2,46,9,1,1,0,0,0,0,2,4,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.650273224043715,0.9174311926605505,99.08256880733946
01209,01,209,1255,857,398,0,650,9,6,644,117,103,154,142,42,0,57,11,3,0,0,0,0,0,5,2,1,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,51.79282868525896,0.9230769230769231,99.07692307692308
01210,01,210,1156,765,391,0,588,6,4,584,110,84,120,121,43,5,67,17,2,0,0,0,0,0,5,4,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,50.86505190311419,0.6802721088435374,99.31972789115646
01211,01,211,898,660,238,0,468,3,2,466,68,64,126,90,52,2,31,13,1,2,0,0,1,0,4,3,1,1,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,52.11581291759465,0.4273504273504274,99.57264957264957
01212,01,212,882,597,285,0,481,14,3,478,80,64,90,106,35,3,65,17,0,0,0,1,0,0,4,1,0,0,2,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.53514739229025,0.6237006237006237,99.37629937629939
01213,01,213,651,448,203,0,300,8,3,297,45,52,75,41,28,2,30,8,2,0,0,0,0,0,1,4,0,1,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.08294930875576,1.0,99.0
01214,01,214,840,544,296,0,357,4,5,352,55,42,118,32,45,1,31,11,1,0,0,1,1,0,1,3,0,0,1,1,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5,1.400560224089636,98.59943977591037
01215,01,215,1018,686,332,0,529,1,8,521,103,80,179,36,81,2,21,5,0,0,0,2,0,0,0,4,0,0,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.96463654223968,1.5122873345935728,98.48771266540642
01216,01,216,953,647,306,0,493,3,6,487,79,75,174,33,77,4,24,6,0,0,0,0,0,0,2,1,2,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.731374606505774,1.2170385395537524,98.78296146044624
01217,01,217,1076,775,301,0,451,3,2,449,72,77,180,24,56,3,13,11,0,1,0,2,0,0,1,1,1,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.91449814126394,0.4434589800443459,99.55654101995566
01218,01,218,1530,1142,388,0,803,7,17,786,153,116,255,52,130,4,35,13,4,1,0,1,0,0,2,1,1,0,6,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,52.48366013071896,2.1170610211706102,97.88293897882939
01219,01,219,342,273,69,0,172,5,0,172,25,24,57,10,21,1,21,9,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.29239766081871,0.0,100.0
01220,01,220,796,538,258,0,346,5,2,344,51,37,137,28,52,0,25,6,0,0,0,0,0,0,2,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.46733668341709,0.5780346820809248,99.42196531791907
01221,01,221,1519,996,523,0,725,0,6,719,150,120,124,90,78,3,107,15,5,0,1,2,0,1,4,4,1,0,1,2,1,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,47.72876892692561,0.8275862068965517,99.17241379310346
01222,01,222,905,632,273,0,434,5,5,429,67,50,170,34,49,3,26,13,1,0,0,0,0,0,0,3,0,1,2,1,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,47.95580110497237,1.1520737327188941,98.84792626728111
01223,01,223,1508,980,528,0,775,10,13,762,128,133,256,101,76,1,39,11,0,0,0,1,0,0,0,0,1,1,5,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,51.39257294429708,1.6774193548387095,98.3225806451613
01224,01,224,838,586,252,0,402,3,5,397,70,59,147,32,44,4,17,7,2,1,0,0,1,0,2,0,1,0,1,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.97136038186158,1.2437810945273633,98.75621890547264
01225,01,225,1380,933,447,0,683,1,6,677,115,98,230,55,85,3,46,18,2,2,0,0,1,0,4,1,3,3,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49.492753623188406,0.8784773060029283,99.12152269399708
01226,01,226,764,592,172,0,407,7,7,400,62,48,165,22,69,4,9,5,2,0,0,1,0,0,2,0,2,0,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.27225130890052,1.71990171990172,98.28009828009829
01227,01,227,1369,954,415,0,726,7,1,725,101,93,218,162,56,8,34,32,0,1,0,0,0,1,1,5,0,0,1,2,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.03140978816655,0.13774104683195593,99.86225895316805
01228,01,228,2319,1504,815,0,1100,12,13,1087,215,209,210,229,77,1,94,28,2,1,0,0,0,0,3,4,1,3,1,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.43423889607589,1.1818181818181819,98.81818181818181
012A,01,2A,0,0,0,0,2147,2147,6,2141,599,278,467,178,213,5,335,17,1,0,1,1,0,0,4,5,1,2,5,3,4,6,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,inf,0.2794597112249651,99.72054028877504
012B,01,2B,0,0,0,0,1859,1859,5,1854,413,311,454,246,127,5,200,27,3,1,1,1,0,0,10,13,9,0,10,4,0,3,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,inf,0.26896180742334586,99.73103819257665
012C,01,2C,0,0,0,0,1592,1592,7,1585,363,207,408,229,115,8,184,15,4,5,0,2,1,2,8,6,0,3,3,6,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inf,0.4396984924623116,99.56030150753769
012D,01,2D,0,0,0,0,1217,1217,8,1209,221,175,465,66,131,8,73,17,4,0,2,1,1,0,2,6,6,1,8,1,0,5,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,inf,0.657354149548069,99.34264585045193
012E,01,2E,0,0,0,0,1460,1460,13,1447,305,187,440,157,118,4,156,25,7,0,4,0,0,0,8,10,5,0,6,1,1,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,inf,0.8904109589041096,99.10958904109589
012F,01,2F,0,0,0,0,1720,1720,13,1707,370,270,426,255,112,8,162,35,5,1,1,0,0,7,8,11,3,3,8,6,3,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,inf,0.7558139534883721,99.24418604651163
01300,01,300,1311,1003,308,0,613,7,7,606,96,115,141,96,42,6,48,28,1,0,0,1,0,2,8,6,1,0,1,1,1,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,46.7581998474447,1.1419249592169658,98.85807504078304
01301,01,301,880,630,250,0,454,5,7,447,66,65,128,82,34,4,28,12,0,2,0,1,1,0,3,5,0,2,1,2,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.590909090909086,1.5418502202643172,98.45814977973568
01302,01,302,1192,906,286,0,577,5,17,560,85,115,133,103,47,3,42,22,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48.40604026845637,2.946273830155979,97.05372616984403
01303,01,303,895,699,196,0,427,7,9,418,67,103,89,70,38,9,16,5,0,0,1,1,0,0,8,2,0,1,0,1,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47.70949720670391,2.107728337236534,97.89227166276346
01304,01,304,948,688,260,0,530,8,11,519,79,104,88,119,43,5,47,14,1,4,0,2,0,1,0,4,0,1,0,2,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55.907172995780584,2.0754716981132075,97.9245283018868
01305,01,305,1054,723,331,0,564,1,10,554,107,96,83,130,51,2,52,12,0,2,0,2,0,0,2,5,0,0,3,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.510436432637576,1.773049645390071,98.22695035460993
01306,01,306,1373,920,453,0,714,9,5,709,85,132,161,190,46,9,45,17,1,1,0,0,0,0,4,4,0,1,0,2,2,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,52.00291332847778,0.700280112044818,99.29971988795518
01307,01,307,1147,824,323,0,660,3,9,651,141,145,87,115,65,4,66,8,0,1,0,0,0,0,3,2,0,2,0,2,2,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57.54141238012206,1.3636363636363635,98.63636363636363
01308,01,308,1160,812,348,0,637,6,3,634,102,128,125,150,38,1,56,15,2,0,0,1,0,0,2,1,0,3,1,1,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54.91379310344827,0.47095761381475665,99.52904238618524
