id,district_id,eligible_voters,voters,invalid_votes,valid_votes,vote_yes,vote_no,voter_turnout,invalid_votes_percentage,valid_votes_percentage,vote_yes_percentage,vote_no_percentage
01,01,193529,47042,117,46925,21059,25866,0.2430746813139116,0.0024871391522469284,0.997512860847753,0.4476637898048552,0.5498490710428978
02,02,168825,44202,92,44110,11386,32724,0.2618214127054642,0.002081353784896611,0.9979186462151034,0.257590154291661,0.7403284919234424
03,03,279669,78108,131,77977,22383,55594,0.27928730034433563,0.001677164951093358,0.9983228350489066,0.28656475649101243,0.7117580785578942
04,04,216524,74270,107,74163,44782,29381,0.34301047458942197,0.001440689376598896,0.9985593106234011,0.602962165073381,0.3955971455500202
05,05,161008,45251,69,45182,31297,13885,0.2810481466759416,0.001524828180592694,0.9984751718194073,0.6916311241740514,0.3068440476453559
06,06,214859,88934,159,88775,58969,29806,0.4139179648048255,0.0017878426698450535,0.9982121573301549,0.6630647446420941,0.3351474126880608
07,07,230507,77367,124,77243,47146,30097,0.3356383970985697,0.0016027505267103546,0.9983972494732897,0.6093812607442449,0.3890159887290447
08,08,195143,51673,136,51537,31928,19609,0.2647955601789457,0.00263193544017185,0.9973680645598282,0.6178855495132854,0.3794825150465427
09,09,198357,54960,114,54846,14334,40512,0.27707618082548136,0.002074235807860262,0.9979257641921397,0.26080786026200875,0.737117903930131
10,10,202373,43767,95,43672,9960,33712,0.21626896868653428,0.0021705851440583087,0.9978294148559417,0.22756871615600796,0.7702606986999337
11,11,202966,47143,87,47056,10052,37004,0.23227042953006907,0.0018454489531849903,0.998154551046815,0.21322359629213244,0.7849309547546826
12,12,181939,60378,139,60239,41708,18531,0.3318584800400134,0.002302163039517705,0.9976978369604823,0.690781410447514,0.3069164265129683
