id,district_id,eligible_voters,voters,invalid_votes,valid_votes,vote_yes,vote_no,voter_turnout,invalid_votes_percentage,valid_votes_percentage,vote_yes_percentage,vote_no_percentage
83,01,196830,44193,58,44135,43214,921,22.45237006553879,0.13124250446903354,99.86875749553097,97.78471703663476,2.0840404588962054
206,02,170710,46346,49,46304,45530,774,27.148966082830533,0.10572649203814785,99.90937729253872,98.2393302550382,1.6700470375005394
354,03,282996,80469,64,80405,79193,1212,28.434677521943776,0.07953373348742994,99.92046626651258,98.41429618859436,1.5061700779182046
452,04,216662,52899,39,52860,52078,782,24.415448948131193,0.07372540123631827,99.92627459876368,98.44798578423033,1.4782888145333561
585,05,162532,41434,45,41389,40554,835,25.492826028105238,0.10860645846406333,99.89139354153593,97.87614036781387,2.015253173722064
1008,06,216913,70593,66,70527,69328,1199,32.54438415401567,0.09349368917598062,99.90650631082401,98.20803762412704,1.6984686866969814
1064,07,232278,66798,87,66709,65610,1099,28.75778162374396,0.13024342046169046,99.8667624779185,98.22150363783346,1.6452588400850325
792,08,199512,52291,93,52198,51131,1067,26.209451060587835,0.17785087299917768,99.82214912700083,97.7816450249565,2.040504102044329
1035,09,199688,66390,49,66341,65430,911,33.24686510957093,0.07380629612893508,99.92619370387106,98.55399909624943,1.3721946076216298
880,10,202537,54156,54,54102,53262,840,26.73881809249668,0.0997119432749834,99.90028805672502,98.3492133835586,1.5510746731664082
1034,11,203868,48070,43,48032,47012,1020,23.57898247885887,0.08945288121489495,99.9209486166008,97.79904306220095,2.1219055543998335
2112,12,181762,54868,45,54823,53893,930,30.186727698858945,0.08201501786104834,99.91798498213895,98.22300794634396,1.694977035794999
