id,district_id,electoral_district_id,eligible_voters,voters,invalid_votes,valid_votes,vote_yes,vote_no,voter_turnout,invalid_votes_percentage,valid_votes_percentage,vote_yes_percentage,vote_no_percentage
011A,01,1A,0,818,10,808,783,25,inf,0.012224938875305624,0.9877750611246944,0.9572127139364304,0.030562347188264057
011B,01,1B,0,776,1,775,743,32,inf,0.001288659793814433,0.9987113402061856,0.9574742268041238,0.041237113402061855
011C,01,1C,0,766,0,766,751,15,inf,0.0,1.0,0.9804177545691906,0.0195822454308094
011D,01,1D,0,764,0,764,742,22,inf,0.0,1.0,0.9712041884816754,0.028795811518324606
011F,01,1F,0,772,0,772,746,26,inf,0.0,1.0,0.966321243523316,0.03367875647668394
011G,01,1G,0,776,0,776,760,16,inf,0.0,1.0,0.979381443298969,0.020618556701030927
011H,01,1H,0,779,1,778,757,21,inf,0.0012836970474967907,0.9987163029525032,0.9717586649550706,0.026957637997432605
011J,01,1J,0,764,0,764,750,14,inf,0.0,1.0,0.981675392670157,0.01832460732984293
011K,01,1K,0,754,0,754,722,32,inf,0.0,1.0,0.9575596816976127,0.042440318302387266
011L,01,1L,0,756,1,755,739,16,inf,0.0013227513227513227,0.9986772486772487,0.9775132275132276,0.021164021164021163
011M,01,1M,0,736,1,735,717,18,inf,0.001358695652173913,0.998641304347826,0.9741847826086957,0.024456521739130436
011N,01,1N,0,780,9,771,743,28,inf,0.011538461538461539,0.9884615384615385,0.9525641025641025,0.035897435897435895
01100,01,100,3066,447,1,446,439,7,0.14579256360078277,0.0022371364653243847,0.9977628635346756,0.9821029082774049,0.015659955257270694
01101,01,101,2469,364,0,364,356,8,0.14742810854597002,0.0,1.0,0.978021978021978,0.02197802197802198
01105,01,105,3952,705,0,705,693,12,0.1783906882591093,0.0,1.0,0.9829787234042553,0.01702127659574468
01107,01,107,3634,640,1,639,633,6,0.17611447440836545,0.0015625,0.9984375,0.9890625,0.009375
01111,01,111,2365,506,0,506,492,14,0.21395348837209302,0.0,1.0,0.9723320158102767,0.02766798418972332
01112,01,112,2315,473,0,473,471,2,0.2043196544276458,0.0,1.0,0.9957716701902748,0.004228329809725159
01115,01,115,3041,511,0,511,501,10,0.16803682999013483,0.0,1.0,0.9804305283757339,0.019569471624266144
01118,01,118,2487,403,2,401,397,4,0.16204262163248895,0.004962779156327543,0.9950372208436724,0.9851116625310173,0.009925558312655087
01120,01,120,3496,604,1,603,594,9,0.17276887871853547,0.0016556291390728477,0.9983443708609272,0.9834437086092715,0.014900662251655629
01121,01,121,2800,522,0,522,518,4,0.18642857142857142,0.0,1.0,0.9923371647509579,0.007662835249042145
01129,01,129,3099,458,4,454,444,10,0.14778960955146822,0.008733624454148471,0.9912663755458515,0.9694323144104804,0.021834061135371178
01200,01,200,2034,397,0,397,394,3,0.19518190757128812,0.0,1.0,0.9924433249370277,0.007556675062972292
01202,01,202,3406,643,0,643,633,10,0.1887844979448033,0.0,1.0,0.9844479004665629,0.015552099533437015
01205,01,205,2909,630,0,630,626,4,0.21656926778961844,0.0,1.0,0.9936507936507937,0.006349206349206349
01207,01,207,3174,545,0,545,539,6,0.17170762444864524,0.0,1.0,0.9889908256880734,0.011009174311926606
01209,01,209,3865,634,3,631,622,9,0.16403622250970246,0.00473186119873817,0.9952681388012619,0.9810725552050473,0.014195583596214511
