id,district_id,eligible_voters,voters,question_1_invalid_votes,question_1_valid_votes,question_1_vote_yes,question_1_vote_no,question_2_invalid_votes,question_2_valid_votes,question_2_vote_yes,question_2_vote_no,voter_turnout,question_1_invalid_votes_percentage,question_1_valid_votes_percentage,question_1_vote_yes_percentage,question_1_vote_no_percentage,question_2_invalid_votes_percentage,question_2_valid_votes_percentage,question_2_vote_yes_percentage,question_2_vote_no_percentage
01,01,815,175052,0,92068,24660,4552,87516,59996,27520,6592,214.7877300613497,0.0,0.5259465758745973,0.1408724264789891,0.02600370175719215,0.4999428741174051,0.3427324452162786,0.15721042890112652,0.037657381806548915
02,02,489,146005,0,93533,23830,2887,90646,72401,18245,5554,298.5787321063395,0.0,0.6406150474298825,0.1632135885757337,0.01977329543508784,0.6208417519947947,0.49588027807266877,0.12496147392212595,0.03803979315776857
03,03,1155,244556,0,132510,35267,7364,125146,82690,42456,9432,211.73679653679653,0.0,0.5418390879798491,0.14420827949426715,0.03011171265477028,0.511727375325079,0.33812296570110734,0.1736044096239716,0.03856785357954824
04,04,917,179793,0,115094,32553,6752,108342,69934,38408,9718,196.06652126499455,0.0,0.6401472804836673,0.18105821694949192,0.03755429855444873,0.6025929819292186,0.3889695371899907,0.2136234447392279,0.05405104759362155
05,05,594,144019,0,64867,17782,4838,60029,38181,21848,6233,242.45622895622895,0.0,0.45040584922822685,0.12346981995431158,0.03359278984022941,0.4168130593879974,0.26511085342906143,0.15170220595893597,0.043279011797054553
06,06,761,172143,0,122960,41260,7527,115433,75333,40100,10521,226.20630749014455,0.0,0.7142898636598641,0.23968444839464864,0.0437252749167843,0.6705645887430799,0.43761872396786394,0.23294586477521595,0.06111779160349245
07,07,835,191609,0,124453,38039,5868,118585,86440,32145,9958,229.47185628742514,0.0,0.6495154194218434,0.19852407767902341,0.03062486626411077,0.6188905531577327,0.4511270347426269,0.16776351841510576,0.051970418926042095
08,08,667,173889,2,94790,27694,4448,90342,70390,19952,7442,260.7031484257871,1.150159009483061e-05,0.5451178625444968,0.15926251804311947,0.025579536370903277,0.5195383261735935,0.4047984633875633,0.11473986278603017,0.0427974167428647
09,09,520,174904,0,87427,22763,5659,81768,55805,25963,7607,336.3538461538462,0.0,0.49985706444678224,0.13014567991583956,0.03235489182637333,0.4675021726204089,0.3190607418926954,0.14844143072771349,0.043492430133101584
10,10,510,183624,0,66644,16387,4683,61961,38294,23667,5567,360.0470588235294,0.0,0.36293730667015206,0.08924214699603537,0.0255032021957914,0.3374341044743607,0.208545723870518,0.12888838060384264,0.030317387705310853
11,11,549,182288,0,74963,19199,5236,69727,45065,24662,6392,332.03642987249543,0.0,0.4112338716755903,0.10532234705520933,0.028723777758272624,0.38251009391731766,0.24721868691301677,0.1352914070043009,0.03506539102957957
12,12,702,156569,0,79836,22377,6225,73611,44595,29016,7449,223.03276353276354,0.0,0.5099093690321839,0.1429210124609597,0.039758828375987584,0.4701505406561963,0.2848264982212315,0.18532404243496478,0.04757646788316972
