id,district_id,electoral_district_id,eligible_voters,voters,question_1_invalid_votes,question_1_valid_votes,question_1_vote_yes,question_1_vote_no,question_2_invalid_votes,question_2_valid_votes,question_2_vote_yes,question_2_vote_no,voter_turnout,question_1_invalid_votes_percentage,question_1_valid_votes_percentage,question_1_vote_yes_percentage,question_1_vote_no_percentage,question_2_invalid_votes_percentage,question_2_valid_votes_percentage,question_2_vote_yes_percentage,question_2_vote_no_percentage
01100,01,100,1,992,0,454,12,20,434,271,163,21,992.0,0.0,0.4576612903225806,0.012096774193548387,0.020161290322580645,0.4375,0.27318548387096775,0.16431451612903225,0.021169354838709676
01101,01,101,1,902,0,373,5,16,357,221,136,25,902.0,0.0,0.41352549889135254,0.005543237250554324,0.017738359201773836,0.39578713968957874,0.24501108647450112,0.15077605321507762,0.02771618625277162
01102,01,102,1,825,0,391,4,13,378,289,89,33,825.0,0.0,0.47393939393939394,0.0048484848484848485,0.01575757575757576,0.4581818181818182,0.3503030303030303,0.10787878787878788,0.04
01103,01,103,1,979,0,471,14,23,448,257,191,31,979.0,0.0,0.4811031664964249,0.014300306435137897,0.02349336057201226,0.4576098059244127,0.26251276813074564,0.195097037793667,0.031664964249233915
01104,01,104,1,979,0,269,2,10,259,211,48,16,979.0,0.0,0.27477017364657813,0.0020429009193054137,0.010214504596527068,0.26455566905005107,0.21552604698672115,0.049029622063329927,0.01634320735444331
01105,01,105,1,869,0,430,0,20,410,269,141,22,869.0,0.0,0.4948216340621404,0.0,0.023014959723820484,0.4718066743383199,0.3095512082853855,0.1622554660529344,0.02531645569620253
01106,01,106,1,923,0,462,3,9,453,279,174,18,923.0,0.0,0.5005417118093174,0.0032502708559046588,0.009750812567713976,0.49079089924160346,0.30227518959913324,0.18851570964247022,0.01950162513542795
01107,01,107,1,825,0,516,0,16,500,339,161,25,825.0,0.0,0.6254545454545455,0.0,0.019393939393939394,0.6060606060606061,0.4109090909090909,0.19515151515151516,0.030303030303030304
01108,01,108,1,833,0,448,9,18,430,279,151,23,833.0,0.0,0.5378151260504201,0.010804321728691477,0.021608643457382955,0.5162064825930373,0.3349339735894358,0.18127250900360145,0.027611044417767107
01109,01,109,1,535,0,259,0,9,250,185,65,19,535.0,0.0,0.48411214953271026,0.0,0.016822429906542057,0.4672897196261682,0.34579439252336447,0.12149532710280374,0.03551401869158879
01110,01,110,1,994,0,549,6,16,533,381,152,35,994.0,0.0,0.5523138832997988,0.006036217303822937,0.01609657947686117,0.5362173038229376,0.38329979879275655,0.1529175050301811,0.035211267605633804
01111,01,111,1,1274,0,685,0,28,657,462,195,40,1274.0,0.0,0.5376766091051806,0.0,0.02197802197802198,0.5156985871271585,0.3626373626373626,0.15306122448979592,0.03139717425431711
01112,01,112,1,890,0,487,7,15,472,319,153,31,890.0,0.0,0.547191011235955,0.007865168539325843,0.016853932584269662,0.5303370786516854,0.35842696629213483,0.17191011235955056,0.0348314606741573
01113,01,113,1,925,0,441,0,16,425,296,129,29,925.0,0.0,0.47675675675675677,0.0,0.017297297297297298,0.4594594594594595,0.32,0.13945945945945945,0.03135135135135135
01114,01,114,1,751,0,431,0,16,415,289,126,41,751.0,0.0,0.5739014647137151,0.0,0.02130492676431425,0.5525965379494008,0.3848202396804261,0.1677762982689747,0.05459387483355526
01115,01,115,1,900,0,462,0,16,446,305,141,28,900.0,0.0,0.5133333333333333,0.0,0.017777777777777778,0.4955555555555556,0.3388888888888889,0.15666666666666668,0.03111111111111111
01116,01,116,1,926,0,495,0,15,480,321,159,28,926.0,0.0,0.5345572354211663,0.0,0.016198704103671708,0.5183585313174947,0.3466522678185745,0.1717062634989201,0.03023758099352052
01117,01,117,1,838,0,401,0,16,385,274,111,25,838.0,0.0,0.4785202863961814,0.0,0.01909307875894988,0.4594272076372315,0.3269689737470167,0.1324582338902148,0.029832935560859187
01118,01,118,1,452,0,205,0,8,197,143,54,12,452.0,0.0,0.45353982300884954,0.0,0.017699115044247787,0.4358407079646018,0.3163716814159292,0.11946902654867257,0.02654867256637168
01119,01,119,1,1030,0,503,7,12,491,347,144,16,1030.0,0.0,0.4883495145631068,0.006796116504854369,0.011650485436893204,0.4766990291262136,0.33689320388349514,0.13980582524271845,0.015533980582524271
01120,01,120,1,1151,0,321,0,16,305,210,95,33,1151.0,0.0,0.2788879235447437,0.0,0.013900955690703735,0.26498696785403997,0.18245004344048654,0.08253692441355343,0.028670721112076455
01121,01,121,1,570,0,295,0,9,286,196,90,22,570.0,0.0,0.5175438596491229,0.0,0.015789473684210527,0.5017543859649123,0.34385964912280703,0.15789473684210525,0.03859649122807018
01122,01,122,1,752,0,269,6,14,255,187,68,16,752.0,0.0,0.35771276595744683,0.007978723404255319,0.018617021276595744,0.3390957446808511,0.24867021276595744,0.09042553191489362,0.02127659574468085
01123,01,123,1,956,0,445,2,13,432,281,151,27,956.0,0.0,0.46548117154811713,0.0020920502092050207,0.013598326359832637,0.45188284518828453,0.2939330543933054,0.1579497907949791,0.028242677824267783
01124,01,124,1,993,0,235,1,14,221,158,63,23,993.0,0.0,0.2366565961732125,0.0010070493454179255,0.014098690835850957,0.22255790533736153,0.15911379657603222,0.0634441087613293,0.023162134944612285
01125,01,125,1,472,0,243,3,5,238,136,102,10,472.0,0.0,0.5148305084745762,0.006355932203389831,0.01059322033898305,0.5042372881355932,0.288135593220339,0.21610169491525424,0.0211864406779661
01126,01,126,1,683,0,348,0,12,336,224,112,22,683.0,0.0,0.5095168374816984,0.0,0.017569546120058566,0.49194729136163984,0.3279648609077599,0.16398243045387995,0.032210834553440704
01127,01,127,1,471,0,240,0,5,235,179,56,17,471.0,0.0,0.5095541401273885,0.0,0.010615711252653927,0.4989384288747346,0.38004246284501064,0.11889596602972399,0.036093418259023353
01128,01,128,1,1077,0,297,4,22,275,187,88,30,1077.0,0.0,0.2757660167130919,0.003714020427112349,0.02042711234911792,0.255338904363974,0.17363045496750232,0.08170844939647168,0.027855153203342618
01129,01,129,1,1099,0,367,2,18,349,241,108,34,1099.0,0.0,0.33393994540491356,0.0018198362147406734,0.01637852593266606,0.3175614194722475,0.21929026387625114,0.09827115559599636,0.030937215650591446
