id,district_id,eligible_voters,voters,invalid_votes,valid_votes,vote_yes,vote_no,voter_turnout,invalid_votes_percentage,valid_votes_percentage,vote_yes_percentage,vote_no_percentage
01,01,204442,140913,2959,137954,77055,60899,0.6892566106768668,0.02099877229212351,0.9790012277078765,0.5468267654510229,0.4321744622568535
02,02,170135,122896,3061,119835,55233,64602,0.72234402092456,0.02490723864080198,0.975092761359198,0.44942878531441216,0.5256639760447859
03,03,285029,213275,2990,210285,91694,118591,0.7482571948819243,0.014019458445668738,0.9859805415543312,0.42993318485523385,0.5560473566990974
04,04,217934,160794,2323,158471,109799,48672,0.7378105297934237,0.014447056482207048,0.985552943517793,0.6828550816572758,0.30269786186051717
05,05,162086,113305,1334,111971,64672,47299,0.6990424836198068,0.011773531618198668,0.9882264683818013,0.5707779886148008,0.41744847976700056
06,06,219244,165717,2499,163218,110180,53038,0.7558564886610352,0.015079925415014754,0.9849200745849852,0.6648684202586337,0.3200516543263516
07,07,233387,168475,2827,165648,105279,60369,0.7218696842583349,0.016779937676213087,0.9832200623237869,0.6248939011722807,0.3583261611515062
08,08,201254,133868,3258,130610,78796,51814,0.665169387937631,0.02433740699793827,0.9756625930020617,0.5886096752024382,0.38705291779962353
09,09,203821,145587,2587,143000,85380,57620,0.7142885178661669,0.017769443700330387,0.9822305562996696,0.5864534608172433,0.3957770954824263
10,10,199661,129810,2348,127462,67968,59494,0.6501520076529718,0.018087974732301056,0.9819120252676989,0.5235960249595563,0.4583160003081427
11,11,204129,138782,2594,136188,66164,70024,0.6798740012443112,0.01869118473577265,0.9813088152642273,0.476747705033794,0.5045611102304334
12,12,181142,129654,1356,128298,82696,45602,0.7157589073765334,0.0104586052107918,0.9895413947892082,0.6378206611442763,0.3517207336449319
